Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-January-2021,19.80,19.80,19.45,19.75,19.750000000000000000,752,5,14852.00,603,80.19,0.35,-0.05
4-January-2021,18.95,18.95,18.95,18.95,18.949600000000000000,1250,4,23687.00,1250,100.00,0.00,0.00
1-January-2021,19.90,19.90,18.55,19.85,18.635514018691588785,107,4,1994.00,107,100.00,1.35,-0.05
31-December-2020,18.45,19.10,18.25,19.10,18.475000000000000000,80,3,1478.00,80,100.00,0.85,0.65
30-December-2020,18.25,18.25,18.25,18.25,18.248772504091653027,611,10,11150.00,611,100.00,0.00,0.00
29-December-2020,18.20,18.20,18.20,18.20,18.000000000000000000,2,1,36.00,2,100.00,0.00,0.00
28-December-2020,18.60,18.60,18.60,18.60,18.600000000000000000,170,3,3162.00,170,100.00,0.00,0.00
24-December-2020,20.15,20.15,19.15,19.15,19.657894736842105263,38,3,747.00,20,52.63,1.00,-1.00
22-December-2020,20.20,20.20,19.15,20.15,19.410447761194029850,134,6,2601.00,134,100.00,1.05,-0.05
21-December-2020,20.25,20.25,19.00,20.15,19.421052631578947368,152,5,2952.00,152,100.00,1.25,-0.10
18-December-2020,18.75,19.45,18.75,19.45,18.752475247524752475,101,4,1894.00,100,99.01,0.70,0.70
17-December-2020,18.70,18.75,18.70,18.75,18.719634703196347031,1095,8,20498.00,1095,100.00,0.05,0.05
16-December-2020,18.15,19.65,18.15,19.65,18.551851851851851851,270,6,5009.00,270,100.00,1.50,1.50
15-December-2020,18.80,18.85,18.75,18.85,18.810732833237160992,1733,11,32599.00,1628,93.94,0.10,0.05
14-December-2020,19.70,19.70,19.70,19.70,19.700000000000000000,50,1,985.00,50,100.00,0.00,0.00
11-December-2020,20.35,20.35,18.75,18.80,18.809302325581395348,215,5,4044.00,215,100.00,1.60,-1.55
10-December-2020,19.50,19.50,19.50,19.50,19.499750623441396508,2005,3,39097.00,2005,100.00,0.00,0.00
9-December-2020,20.45,20.45,20.35,20.35,20.400000000000000000,105,3,2142.00,105,100.00,0.10,-0.10
7-December-2020,20.50,20.50,20.50,20.50,20.500000000000000000,150,2,3075.00,150,100.00,0.00,0.00
4-December-2020,20.75,20.75,20.75,20.75,20.750000000000000000,100,1,2075.00,100,100.00,0.00,0.00
