,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,10.76,10.81,10.58,10.7,8.777983,14209900
1,2016-01-05,10.76,10.81,10.65,10.72,8.794394,9529200
2,2016-01-06,10.51,10.65,10.48,10.55,8.654929,7561600
3,2016-01-07,10.32,10.44,10.18,10.23,8.392409,13056000
4,2016-01-08,10.4,10.4,10.02,10.05,8.24474,12049200
5,2016-01-11,10.14,10.19,9.98,10.1,8.285759,12756200
6,2016-01-12,10.18,10.21,9.97,10.18,8.351391,11974700
7,2016-01-13,10.22,10.25,9.72,9.75,7.998628,15425600
8,2016-01-14,9.82,9.92,9.55,9.85,8.080668,13622400
9,2016-01-15,9.55,9.61,9.38,9.58,7.859165,14389000
10,2016-01-19,9.78,9.78,9.42,9.48,7.777128,10383500
11,2016-01-20,9.26,9.32,9.02,9.26,7.596646,25958500
12,2016-01-21,8.74,9.37,8.57,9.0,7.383351,21720100
13,2016-01-22,9.09,9.23,9.06,9.15,7.506405,12855800
14,2016-01-25,9.09,9.15,8.79,8.8,7.219277,71293800
15,2016-01-26,8.23,8.38,7.83,8.05,6.603997,88356100
16,2016-01-27,8.11,8.5,8.04,8.26,6.776275,37448900
17,2016-01-28,8.35,8.54,8.28,8.48,6.956758,27980100
18,2016-01-29,8.5,8.58,8.42,8.58,7.038794,16369200
19,2016-02-01,8.56,8.73,8.46,8.64,7.088017,18784500
20,2016-02-02,8.54,8.54,8.35,8.41,6.899331,21717900
21,2016-02-03,8.46,8.57,8.12,8.52,6.989571,22003800
22,2016-02-04,8.48,8.79,8.48,8.67,7.112628,20033700
23,2016-02-05,8.69,8.8,8.53,8.58,7.038794,15985600
24,2016-02-08,8.5,8.52,8.25,8.41,6.899331,13434500
25,2016-02-09,8.29,8.55,8.27,8.45,6.932146,16447500
26,2016-02-10,8.52,8.6,8.33,8.37,6.866516,12602000
27,2016-02-11,8.18,8.18,7.95,8.01,6.571183,18762400
28,2016-02-12,8.16,8.51,8.16,8.44,6.923942,13330900
29,2016-02-16,8.6,8.88,8.49,8.74,7.170054,15702600
30,2016-02-17,8.89,8.99,8.72,8.77,7.194664,12723700
31,2016-02-18,8.78,8.82,8.41,8.52,6.989571,23689100
32,2016-02-19,8.48,8.68,8.41,8.67,7.112628,14307400
33,2016-02-22,8.76,8.86,8.72,8.84,7.252092,10291900
34,2016-02-23,8.87,8.89,8.55,8.61,7.063405,8187300
35,2016-02-24,8.45,8.61,8.37,8.54,7.00598,20932500
36,2016-02-25,8.59,8.68,8.53,8.64,7.088017,13806600
37,2016-02-26,8.71,8.99,8.71,8.95,7.342333,14643400
38,2016-02-29,8.87,8.92,8.69,8.75,7.178257,14167300
39,2016-03-01,8.85,9.2,8.8,9.18,7.53102,14364200
40,2016-03-02,9.16,9.33,9.16,9.29,7.621259,15788100
41,2016-03-03,9.33,9.63,9.29,9.6,7.875576,18045100
42,2016-03-04,9.63,9.77,9.58,9.67,7.933001,13057800
43,2016-03-07,9.57,9.71,9.55,9.58,7.859165,9095900
44,2016-03-08,9.45,9.56,9.29,9.35,7.670482,10898700
45,2016-03-09,9.44,9.47,9.3,9.34,7.662278,12721900
46,2016-03-10,9.45,9.62,9.3,9.54,7.82635,14057400
47,2016-03-11,9.64,9.83,9.58,9.82,8.056058,13975900
48,2016-03-14,9.81,9.86,9.66,9.74,7.990427,8847300
49,2016-03-15,9.6,9.71,9.58,9.66,7.924796,8134100
50,2016-03-16,9.59,9.73,9.4,9.48,7.833897,10726400
51,2016-03-17,9.47,9.59,9.31,9.55,7.891742,12791700
52,2016-03-18,9.6,9.82,9.52,9.67,7.990905,14802000
53,2016-03-21,9.65,9.79,9.6,9.69,8.00743,10847500
54,2016-03-22,9.61,9.81,9.55,9.7,8.015697,9901400
55,2016-03-23,9.68,9.72,9.6,9.63,7.957851,9943800
56,2016-03-24,9.53,9.61,9.43,9.59,7.924796,7322300
57,2016-03-28,9.6,9.66,9.48,9.53,7.875216,9123300
58,2016-03-29,9.48,9.54,9.35,9.53,7.875216,12676300
59,2016-03-30,9.58,9.7,9.5,9.59,7.924796,9984100
60,2016-03-31,9.56,9.64,9.44,9.54,7.883479,12343000
61,2016-04-01,9.51,9.56,9.38,9.56,7.900007,11356200
62,2016-04-04,9.6,9.61,9.46,9.51,7.858688,11037000
63,2016-04-05,9.38,9.54,9.35,9.41,7.776051,14762700
64,2016-04-06,9.51,9.55,9.34,9.54,7.883479,13356600
65,2016-04-07,9.48,9.53,9.22,9.3,7.685153,15564400
66,2016-04-08,9.37,9.5,9.28,9.33,7.709941,8118400
67,2016-04-11,9.34,9.52,9.34,9.38,7.751259,11722100
68,2016-04-12,9.42,9.6,9.37,9.57,7.908268,10777300
69,2016-04-13,9.67,9.94,9.62,9.9,8.180969,12270100
70,2016-04-14,9.88,10.11,9.87,9.99,8.25534,11266500
71,2016-04-15,10.01,10.03,9.86,9.93,8.20576,8930300
72,2016-04-18,9.86,10.04,9.83,9.96,8.230551,8267800
73,2016-04-19,9.98,10.14,9.96,10.11,8.354504,10978900
74,2016-04-20,10.08,10.35,10.01,10.28,8.494986,16621500
75,2016-04-21,10.21,10.36,10.15,10.22,8.445401,7863800
76,2016-04-22,10.25,10.33,10.16,10.25,8.470196,12753700
77,2016-04-25,10.22,10.24,10.03,10.16,8.395822,10935800
78,2016-04-26,10.21,10.33,10.1,10.26,8.478458,9072300
79,2016-04-27,10.22,10.34,10.17,10.27,8.486722,8022500
80,2016-04-28,10.21,10.28,10.08,10.12,8.362768,7755900
81,2016-04-29,10.06,10.13,9.97,10.06,8.313188,16772600
82,2016-05-02,10.14,10.21,10.0,10.19,8.420612,9808200
83,2016-05-03,10.02,10.11,9.89,10.01,8.271869,8797100
84,2016-05-04,9.9,10.0,9.74,9.86,8.147913,14186300
85,2016-05-05,9.87,9.97,9.79,9.87,8.156178,9908200
86,2016-05-06,9.79,9.9,9.77,9.88,8.16444,12839100
87,2016-05-09,9.88,9.94,9.74,9.79,8.090068,8158700
88,2016-05-10,9.89,10.01,9.85,9.99,8.25534,5963300
89,2016-05-11,9.95,10.09,9.94,9.97,8.238813,6791700
90,2016-05-12,10.0,10.11,9.84,9.89,8.172705,8613200
91,2016-05-13,9.87,10.0,9.62,9.67,7.990905,10131200
92,2016-05-16,9.7,9.82,9.64,9.78,8.081805,6322600
93,2016-05-17,9.74,9.9,9.67,9.77,8.073542,10915100
94,2016-05-18,9.75,10.3,9.74,10.29,8.503249,15573200
95,2016-05-19,10.22,10.34,10.07,10.22,8.445401,11327700
96,2016-05-20,10.25,10.38,10.2,10.23,8.453668,8453500
97,2016-05-23,10.24,10.28,10.12,10.2,8.428879,6666700
98,2016-05-24,10.26,10.42,10.24,10.38,8.577621,7458100
99,2016-05-25,10.41,10.64,10.38,10.62,8.775949,9380800
100,2016-05-26,10.5,10.63,10.4,10.46,8.643733,8511200
101,2016-05-27,10.5,10.58,10.42,10.58,8.742894,6891700
102,2016-05-31,10.64,10.65,10.43,10.45,8.635465,10286200
103,2016-06-01,10.33,10.51,9.95,10.51,8.685049,11805500
104,2016-06-02,10.49,10.57,10.38,10.56,8.726368,7496100
105,2016-06-03,10.39,10.4,10.1,10.36,8.561093,13627400
106,2016-06-06,10.38,10.6,10.36,10.53,8.701577,7930100
107,2016-06-07,10.53,10.54,10.41,10.41,8.602411,6658800
108,2016-06-08,10.42,10.48,10.29,10.35,8.552831,18204100
109,2016-06-09,10.25,10.38,10.05,10.17,8.404086,17555500
110,2016-06-10,10.0,10.09,9.91,9.95,8.222287,11713000
111,2016-06-13,9.91,10.07,9.86,9.86,8.147913,9175000
112,2016-06-14,9.8,9.91,9.46,9.48,7.833897,16309900
113,2016-06-15,9.44,9.65,9.4,9.46,7.875524,10806000
114,2016-06-16,9.37,9.39,9.22,9.31,7.750645,11060000
115,2016-06-17,9.3,9.4,9.21,9.3,7.742322,14017100
116,2016-06-20,9.52,9.61,9.26,9.28,7.725671,11977000
117,2016-06-21,9.3,9.33,9.1,9.26,7.709019,14464100
118,2016-06-22,9.26,9.39,9.2,9.22,7.675722,6110300
119,2016-06-23,9.34,9.5,9.32,9.43,7.850546,9374400
120,2016-06-24,8.95,9.0,8.61,8.61,7.16789,25194000
121,2016-06-27,8.49,8.54,8.05,8.09,6.734987,19206000
122,2016-06-28,8.29,8.42,8.19,8.37,6.968089,17511000
123,2016-06-29,8.46,8.56,8.3,8.51,7.084641,15852400
