,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,26.799999,26.879999,26.309999,26.84,18.588449,1082400
1,2016-01-05,26.91,27.370001,26.75,27.33,18.927801,783000
2,2016-01-06,27.08,27.26,26.93,27.120001,18.782362,800600
3,2016-01-07,26.73,26.809999,26.110001,26.219999,18.159058,824300
4,2016-01-08,26.379999,26.620001,25.51,25.620001,17.743519,1659300
5,2016-01-11,25.709999,26.040001,25.440001,25.91,17.944357,1159900
6,2016-01-12,26.07,26.139999,25.17,25.370001,17.570377,1076000
7,2016-01-13,25.41,25.780001,25.040001,25.059999,17.355677,938000
8,2016-01-14,25.09,25.389999,24.709999,25.110001,17.390306,1260300
9,2016-01-15,24.700001,24.99,24.32,24.84,17.203314,1142300
10,2016-01-19,25.110001,25.15,24.540001,24.83,17.196394,1003000
11,2016-01-20,24.57,24.84,23.639999,24.559999,17.009396,1475300
12,2016-01-21,24.67,25.34,24.389999,24.870001,17.224092,1183400
13,2016-01-22,25.17,25.700001,25.15,25.51,17.667334,1123400
14,2016-01-25,25.48,25.49,25.16,25.27,17.50112,1373200
15,2016-01-26,25.459999,25.82,25.35,25.809999,17.875107,1949100
16,2016-01-27,25.709999,26.209999,25.6,25.83,17.888956,1192100
17,2016-01-28,26.129999,26.379999,25.870001,26.1,18.075947,903100
18,2016-01-29,26.4,27.65,26.209999,27.540001,19.07324,3934500
19,2016-02-01,27.24,27.41,26.92,27.08,18.75466,1458600
20,2016-02-02,26.9,26.99,26.35,26.620001,18.436083,1161800
21,2016-02-03,26.809999,27.16,26.290001,27.1,18.768515,1530800
22,2016-02-04,27.129999,27.549999,26.91,27.35,18.941656,1657600
23,2016-02-05,27.02,27.15,26.719999,27.0,18.699257,1514700
24,2016-02-08,26.76,26.809999,26.08,26.67,18.470709,3336600
25,2016-02-09,26.41,26.76,26.27,26.559999,18.394529,3525700
26,2016-02-10,26.59,27.0,26.450001,26.73,18.512266,1488300
27,2016-02-11,26.24,26.75,26.16,26.610001,18.429161,1520500
28,2016-02-12,26.790001,27.43,26.73,27.4,18.97628,1066600
29,2016-02-16,27.719999,28.639999,27.49,28.629999,19.828138,1434300
30,2016-02-17,28.700001,29.18,28.290001,29.059999,20.12594,1016900
31,2016-02-18,28.860001,29.469999,28.67,29.27,20.271378,1194700
32,2016-02-19,29.09,29.190001,28.57,28.950001,20.049761,966100
33,2016-02-22,29.26,29.530001,28.950001,29.450001,20.39604,866400
34,2016-02-23,29.370001,29.639999,29.129999,29.26,20.264454,879800
35,2016-02-24,29.110001,29.17,28.799999,29.129999,20.174417,1180500
36,2016-02-25,29.32,29.950001,28.790001,29.93,20.728472,1152100
37,2016-02-26,29.85,30.0,29.43,29.559999,20.472221,907100
38,2016-02-29,29.6,29.969999,29.27,29.379999,20.347559,1372300
39,2016-03-01,29.52,30.030001,29.51,29.969999,20.756176,1311700
40,2016-03-02,29.889999,30.0,29.52,29.99,20.770025,1238000
41,2016-03-03,29.5,30.290001,29.16,30.200001,21.25927,1532800
42,2016-03-04,30.190001,30.559999,29.860001,29.99,21.111444,1014400
43,2016-03-07,29.77,30.84,29.690001,30.83,21.702761,1362900
44,2016-03-08,30.700001,31.049999,30.540001,30.940001,21.780193,1572500
45,2016-03-09,31.040001,31.57,30.719999,31.459999,22.146248,1849600
46,2016-03-10,31.5,31.610001,30.32,30.6,21.540852,1716000
47,2016-03-11,30.93,31.83,30.67,31.790001,22.37855,1381400
48,2016-03-14,31.77,31.959999,31.129999,31.68,22.301115,1003700
49,2016-03-15,31.440001,31.620001,31.07,31.190001,21.956182,875400
50,2016-03-16,31.07,31.59,30.91,31.48,22.160328,1066500
51,2016-03-17,31.620001,32.68,31.51,32.619999,22.962831,1484300
52,2016-03-18,32.66,33.169998,32.380001,32.779999,23.07546,2280900
53,2016-03-21,32.57,32.599998,31.93,32.389999,22.800922,893200
54,2016-03-22,32.259998,32.990002,32.18,32.959999,23.202169,1208700
55,2016-03-23,32.889999,32.990002,32.639999,32.849998,23.124737,1187000
56,2016-03-24,32.700001,32.82,32.380001,32.77,23.06842,801900
57,2016-03-28,32.830002,33.360001,32.810001,33.09,23.293686,769300
58,2016-03-29,33.0,33.52,32.470001,33.5,23.582302,1131300
59,2016-03-30,33.59,33.849998,33.400002,33.610001,23.659735,798200
60,2016-03-31,33.580002,34.150002,33.5,33.91,23.87092,1221100
61,2016-04-01,33.259998,33.549999,32.27,32.73,23.04026,2170800
62,2016-04-04,32.720001,32.799999,32.48,32.720001,23.033224,1104900
63,2016-04-05,32.610001,32.810001,32.349998,32.619999,22.962831,1206000
64,2016-04-06,32.59,32.59,32.119999,32.509998,22.885391,788000
65,2016-04-07,32.389999,32.540001,32.209999,32.279999,22.723486,918100
66,2016-04-08,32.5,32.849998,32.459999,32.68,23.005068,1502900
67,2016-04-11,32.799999,33.080002,32.68,32.799999,23.08954,1188300
68,2016-04-12,32.919998,33.209999,32.75,33.16,23.342964,1038700
69,2016-04-13,33.32,33.32,32.950001,33.200001,23.371117,1356000
70,2016-04-14,33.099998,33.279999,32.919998,33.27,23.420399,1824200
71,2016-04-15,33.189999,33.709999,32.900002,33.57,23.63158,1689900
72,2016-04-18,34.040001,35.07,33.91,34.75,24.462238,2874400
73,2016-04-19,34.75,35.23,34.48,35.009998,24.645269,3121200
74,2016-04-20,35.099998,35.48,35.02,35.049999,24.673428,3443700
75,2016-04-21,35.099998,35.25,34.509998,35.209999,24.786058,10341300
76,2016-04-22,35.169998,35.880001,35.099998,35.57,25.039478,3870600
77,2016-04-25,35.439999,35.52,35.25,35.5,24.990202,1871500
78,2016-04-26,35.68,36.0,35.52,35.970001,25.321054,2292900
79,2016-04-27,35.970001,36.279999,35.759998,36.02,25.35626,2289600
80,2016-04-28,35.849998,36.619999,35.84,36.240002,25.511127,2936700
81,2016-04-29,36.310001,36.549999,36.150002,36.529999,25.715269,3531200
82,2016-05-02,37.360001,37.610001,36.5,36.599998,25.764545,12658100
83,2016-05-03,36.52,36.560001,36.119999,36.5,25.694149,11558600
84,2016-05-04,36.360001,37.290001,36.360001,37.099998,26.11652,3543400
85,2016-05-05,37.27,37.380001,36.950001,37.27,26.2362,1444700
86,2016-05-06,37.189999,38.080002,37.119999,38.0,26.750078,2093000
87,2016-05-09,37.93,38.639999,37.93,38.150002,26.855669,2755900
88,2016-05-10,38.150002,38.25,37.689999,38.09,26.813433,2883600
89,2016-05-11,38.049999,38.049999,37.299999,37.490002,26.391069,2606600
90,2016-05-12,37.5,38.209999,37.5,38.080002,26.806395,1696500
91,2016-05-13,38.02,38.119999,37.580002,37.889999,26.672642,1296500
92,2016-05-16,37.950001,38.23,37.810001,38.049999,26.785269,1866800
93,2016-05-17,37.98,38.150002,37.450001,37.700001,26.538889,1847900
94,2016-05-18,37.560001,37.580002,36.259998,36.599998,25.764545,2642100
95,2016-05-19,36.32,36.5,35.759998,36.330002,25.574484,2543000
96,2016-05-20,36.540001,36.669998,36.029999,36.189999,25.475924,1968700
97,2016-05-23,36.16,36.200001,35.709999,36.0,25.342176,1713200
98,2016-05-24,36.220001,36.73,36.099998,36.619999,25.778624,1859100
99,2016-05-25,36.790001,36.880001,36.41,36.549999,25.729351,1198800
