,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,76.82,76.830002,76.080002,76.529999,71.777344,501900
1,2016-01-05,76.57,77.830002,76.459999,77.650002,72.827789,376300
2,2016-01-06,76.919998,78.010002,76.82,77.709999,72.884071,512100
3,2016-01-07,76.580002,77.260002,76.0,76.879997,72.105591,512800
4,2016-01-08,77.07,77.279999,76.339996,76.449997,71.702286,701500
5,2016-01-11,76.940002,77.18,76.349998,76.730003,71.96492,738700
6,2016-01-12,77.120003,78.080002,76.800003,77.900002,73.062241,599900
7,2016-01-13,78.050003,78.050003,75.639999,75.779999,71.073906,841600
8,2016-01-14,75.940002,77.449997,75.559998,77.120003,72.330696,685700
9,2016-01-15,75.639999,77.879997,74.029999,74.529999,69.901535,715300
10,2016-01-19,75.370003,76.029999,74.559998,75.620003,70.923866,517000
11,2016-01-20,74.68,75.559998,73.190002,75.139999,70.473671,638600
12,2016-01-21,75.279999,77.0,74.919998,76.550003,71.796082,895000
13,2016-01-22,77.510002,78.739998,76.989998,78.32,73.456177,869700
14,2016-01-25,77.879997,78.290001,77.169998,77.379997,72.574524,534100
15,2016-01-26,77.510002,78.110001,76.029999,77.980003,73.137299,431000
16,2016-01-27,77.870003,78.800003,75.0,77.919998,73.081009,540200
17,2016-01-28,78.879997,78.959999,77.529999,78.150002,73.296745,436400
18,2016-01-29,78.57,81.279999,78.389999,81.18,76.138565,777500
19,2016-02-01,81.220001,82.160004,80.849998,81.339996,76.288635,530300
20,2016-02-02,80.879997,81.540001,80.32,80.709999,75.697731,608200
21,2016-02-03,80.790001,82.889999,78.620003,79.879997,74.919319,996800
22,2016-02-04,79.440002,79.800003,76.07,79.75,74.797348,597900
23,2016-02-05,79.75,79.889999,78.019997,78.610001,73.728165,671300
24,2016-02-08,77.980003,78.18,76.089996,76.57,71.814827,674700
25,2016-02-09,75.610001,77.110001,75.0,76.599998,71.842979,619300
26,2016-02-10,77.040001,78.25,76.550003,77.300003,72.499504,436500
27,2016-02-11,76.059998,77.449997,75.870003,77.010002,72.227524,357900
28,2016-02-12,77.5,79.440002,77.050003,79.290001,74.365921,652600
29,2016-02-16,80.540001,81.32,80.540001,80.970001,75.941612,823300
30,2016-02-17,81.230003,81.699997,79.580002,80.019997,75.050583,490300
31,2016-02-18,80.449997,82.129997,80.040001,82.110001,77.010796,639100
