,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,12.99,13.03,12.85,12.96,10.751104,18057000
1,2016-01-05,13.01,13.08,12.75,12.85,10.659852,18014700
2,2016-01-06,12.69,12.81,12.59,12.62,10.469054,20747000
3,2016-01-07,12.43,12.58,12.15,12.18,10.104044,20453000
4,2016-01-08,12.29,12.34,11.89,11.92,9.888361,14347100
5,2016-01-11,11.99,12.07,11.75,11.94,9.904951,22337700
6,2016-01-12,12.1,12.12,11.75,12.05,9.996203,14513800
7,2016-01-13,12.13,12.18,11.58,11.68,9.689268,22164700
8,2016-01-14,11.78,11.92,11.55,11.83,9.813699,16909200
9,2016-01-15,11.36,11.58,11.28,11.51,9.54824,19433200
10,2016-01-19,11.65,11.69,11.25,11.33,9.398919,14662100
11,2016-01-20,11.1,11.32,10.78,11.2,9.291078,29515200
12,2016-01-21,10.88,11.47,10.84,11.17,9.266191,22749800
13,2016-01-22,11.36,11.57,11.26,11.32,9.390621,20038200
14,2016-01-25,11.28,11.31,10.81,10.85,9.000731,18892900
15,2016-01-26,10.91,11.07,10.85,10.94,9.075392,16094900
16,2016-01-27,10.89,11.28,10.86,10.92,9.0588,16773900
17,2016-01-28,11.13,11.25,10.96,11.08,9.191532,13991200
18,2016-01-29,11.15,11.2,10.95,11.16,9.257895,17298000
19,2016-02-01,11.25,11.25,11.02,11.08,9.191532,14086600
20,2016-02-02,10.91,10.91,10.7,10.76,8.926069,16507100
21,2016-02-03,10.83,10.85,10.32,10.78,8.942661,23400700
22,2016-02-04,10.74,11.0,10.72,10.91,9.050506,17267400
23,2016-02-05,11.02,11.1,10.77,10.8,8.959252,17348800
24,2016-02-08,10.68,10.69,10.44,10.55,8.751863,14660000
25,2016-02-09,10.37,10.73,10.34,10.64,8.826524,13925300
26,2016-02-10,10.74,10.8,10.45,10.52,8.726976,22141200
27,2016-02-11,10.17,10.19,9.88,10.0,8.295605,25375900
28,2016-02-12,10.19,10.59,10.15,10.49,8.702087,15587500
29,2016-02-16,10.81,11.08,10.59,10.91,9.050506,17656100
30,2016-02-17,11.04,11.15,10.86,10.93,9.067096,16958000
31,2016-02-18,10.98,10.98,10.5,10.64,8.826524,30584100
32,2016-02-19,10.56,10.77,10.49,10.7,8.876296,13448800
33,2016-02-22,10.84,10.94,10.77,10.93,9.067096,12654000
34,2016-02-23,10.9,10.91,10.57,10.63,8.818228,10715100
35,2016-02-24,10.47,10.57,10.23,10.54,8.743567,11566400
36,2016-02-25,10.58,10.73,10.49,10.69,8.868002,11139800
37,2016-02-26,10.79,10.87,10.62,10.72,8.955721,21332000
38,2016-02-29,10.71,10.73,10.45,10.55,8.8137,17372000
39,2016-03-01,10.6,10.99,10.57,10.9,9.106094,29905400
40,2016-03-02,10.91,11.31,10.91,11.31,9.44862,21916700
41,2016-03-03,11.31,11.47,11.22,11.47,9.582286,12147900
42,2016-03-04,11.57,11.74,11.49,11.55,9.649119,13573200
43,2016-03-07,11.44,11.54,11.35,11.44,9.557226,8270400
44,2016-03-08,11.29,11.34,11.03,11.09,9.264826,11340500
45,2016-03-09,11.14,11.21,10.85,10.9,9.106094,11315800
46,2016-03-10,10.99,11.07,10.75,10.96,9.15622,12655000
47,2016-03-11,11.09,11.26,11.04,11.22,9.373432,11362500
48,2016-03-14,11.22,11.23,11.03,11.14,9.3066,12993900
49,2016-03-15,11.03,11.17,10.96,11.17,9.331659,11643200
50,2016-03-16,11.15,11.34,10.96,11.01,9.197993,14411600
51,2016-03-17,10.98,11.2,10.86,11.13,9.298243,15026800
52,2016-03-18,11.23,11.45,11.2,11.39,9.515454,22896100
