,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,26.17,26.190001,25.51,25.75,19.463148,4018400
1,2016-01-05,25.860001,26.68,25.77,26.559999,20.075388,2699100
2,2016-01-06,26.33,26.65,26.280001,26.32,19.893982,4626900
3,2016-01-07,25.85,26.1,25.65,25.66,19.395124,4445100
4,2016-01-08,25.799999,25.9,25.17,25.219999,19.062546,3185400
5,2016-01-11,25.280001,25.719999,25.27,25.620001,19.364891,3328100
6,2016-01-12,25.889999,26.01,25.23,25.51,19.281744,4332600
7,2016-01-13,25.559999,25.98,25.18,25.209999,19.054991,3460900
8,2016-01-14,25.389999,25.549999,25.15,25.280001,19.107899,3035700
9,2016-01-15,24.84,25.469999,24.75,25.4,19.198603,4828400
10,2016-01-19,25.74,25.870001,25.59,25.709999,19.432913,3028000
11,2016-01-20,25.32,25.719999,24.85,25.35,19.16081,5588000
12,2016-01-21,25.57,26.32,25.35,26.0,19.652113,6569700
13,2016-01-22,26.379999,26.84,26.27,26.58,20.090506,4438700
14,2016-01-25,26.6,26.870001,26.18,26.190001,19.795727,3475700
15,2016-01-26,26.219999,26.75,26.219999,26.74,20.211439,3155000
16,2016-01-27,26.58,26.719999,26.27,26.440001,19.984686,2277400
17,2016-01-28,26.67,26.780001,26.360001,26.440001,19.984686,2731400
18,2016-01-29,26.690001,27.209999,26.5,27.190001,20.551575,5147500
19,2016-02-01,26.99,27.58,26.75,27.290001,20.627159,4356900
20,2016-02-02,27.16,27.35,27.049999,27.18,20.544018,4081300
21,2016-02-03,27.969999,28.08,27.43,27.74,20.967295,5099700
22,2016-02-04,27.639999,27.93,27.540001,27.809999,21.020201,3173500
23,2016-02-05,27.809999,27.809999,27.450001,27.57,20.838799,3557300
24,2016-02-08,27.57,27.68,26.35,26.860001,20.302145,3656700
25,2016-02-09,26.67,27.290001,26.58,27.02,20.42308,3504300
26,2016-02-10,27.15,27.360001,26.709999,26.74,20.211439,4017500
27,2016-02-11,26.360001,26.540001,26.059999,26.280001,19.863752,3548800
28,2016-02-12,26.58,26.67,26.120001,26.290001,19.871309,4054500
29,2016-02-16,26.66,26.799999,26.24,26.52,20.045153,4017400
30,2016-02-17,26.83,27.02,26.610001,26.77,20.234114,2869000
31,2016-02-18,26.73,26.85,26.52,26.780001,20.241678,2544800
32,2016-02-19,26.790001,27.120001,26.540001,26.9,20.332376,2149700
33,2016-02-22,27.15,27.290001,26.879999,27.07,20.460873,2065100
34,2016-02-23,26.959999,27.190001,26.860001,26.889999,20.324821,2164300
35,2016-02-24,26.780001,26.860001,26.35,26.559999,20.075388,2462100
36,2016-02-25,26.790001,27.129999,26.780001,27.120001,20.498663,2663800
37,2016-02-26,27.15,27.15,26.65,26.690001,20.173647,3746100
38,2016-02-29,26.690001,26.870001,26.58,26.75,20.219002,4741000
39,2016-03-01,27.02,27.389999,26.889999,27.389999,20.702744,2395000
40,2016-03-02,27.26,27.5,27.23,27.5,20.785889,1841600
41,2016-03-03,27.43,27.629999,27.309999,27.629999,20.88415,1436600
42,2016-03-04,27.6,27.629999,27.35,27.610001,20.869034,1970400
43,2016-03-07,27.35,27.49,27.110001,27.450001,20.748095,1869200
44,2016-03-08,27.33,27.469999,27.190001,27.33,20.657394,2552900
45,2016-03-09,27.379999,27.610001,27.25,27.370001,20.68763,2037700
46,2016-03-10,27.41,27.559999,26.969999,27.33,20.657394,2497400
47,2016-03-11,27.6,27.799999,27.389999,27.780001,20.997526,2929400
48,2016-03-14,27.68,27.85,27.629999,27.799999,21.012642,1830900
49,2016-03-15,27.66,28.129999,27.65,28.09,21.231842,2216500
50,2016-03-16,27.92,28.4,27.82,28.360001,21.435919,2906700
51,2016-03-17,28.33,29.110001,28.209999,29.049999,21.957453,5472300
52,2016-03-18,28.99,28.99,28.469999,28.49,21.534178,4923600
53,2016-03-21,28.32,28.48,27.85,27.879999,21.073109,2186100
54,2016-03-22,27.889999,28.23,27.82,28.0,21.163815,2389700
55,2016-03-23,27.99,28.030001,27.76,27.790001,21.005083,1841300
56,2016-03-24,27.67,27.889999,27.52,27.799999,21.012642,2073300
57,2016-03-28,27.83,28.030001,27.790001,28.01,21.17137,2050300
58,2016-03-29,27.940001,28.82,27.940001,28.809999,21.776051,2265700
59,2016-03-30,28.860001,28.9,28.639999,28.66,21.662674,1929600
60,2016-03-31,28.74,28.799999,28.48,28.780001,21.753378,2858700
61,2016-04-01,28.49,28.809999,28.35,28.629999,21.83345,2285200
62,2016-04-04,28.639999,28.68,28.23,28.4,21.658049,1923700
63,2016-04-05,28.27,28.360001,28.09,28.15,21.467398,1750600
64,2016-04-06,28.139999,28.42,28.049999,28.4,21.658049,2274900
65,2016-04-07,28.309999,28.35,28.040001,28.09,21.421637,1779700
66,2016-04-08,28.23,28.35,28.16,28.18,21.490276,1626800
67,2016-04-11,28.209999,28.48,28.110001,28.35,21.619925,1922400
68,2016-04-12,28.49,28.65,28.309999,28.629999,21.83345,1724500
69,2016-04-13,28.73,28.73,28.32,28.690001,21.879206,2819200
70,2016-04-14,28.610001,28.76,28.43,28.52,21.749559,1522400
71,2016-04-15,28.57,28.709999,28.51,28.65,21.848698,1771200
72,2016-04-18,28.639999,28.74,28.41,28.639999,21.841072,1441800
73,2016-04-19,28.709999,28.76,28.549999,28.66,21.856329,3212100
74,2016-04-20,28.700001,28.700001,28.27,28.280001,21.566536,2529300
75,2016-04-21,28.209999,28.35,27.73,27.889999,21.269121,2478600
76,2016-04-22,27.940001,28.290001,27.790001,28.219999,21.520782,2497000
77,2016-04-25,28.1,28.440001,28.01,28.440001,21.688555,1970300
78,2016-04-26,28.51,28.76,28.280001,28.57,21.787697,2310800
79,2016-04-27,28.51,28.809999,28.360001,28.719999,21.902086,2444600
80,2016-04-28,28.030001,28.610001,27.870001,28.42,21.6733,4768800
81,2016-04-29,28.26,28.35,27.76,28.120001,21.444519,3742800
82,2016-05-02,28.139999,28.59,28.139999,28.540001,21.764816,1801200
83,2016-05-03,28.42,28.559999,28.280001,28.51,21.741938,2326200
84,2016-05-04,28.280001,29.02,28.25,28.99,22.10799,2953500
85,2016-05-05,28.940001,29.32,28.73,29.209999,22.275761,3808400
86,2016-05-06,29.190001,29.59,29.040001,29.59,22.565552,3139100
87,2016-05-09,29.690001,29.9,29.620001,29.66,22.618935,2809300
88,2016-05-10,29.870001,29.969999,29.629999,29.73,22.672318,2100300
89,2016-05-11,29.67,29.67,29.01,29.290001,22.336769,3280500
90,2016-05-12,29.299999,29.379999,28.9,29.120001,22.207129,3264100
91,2016-05-13,28.99,28.99,28.59,28.68,21.87158,2016900
92,2016-05-16,28.74,29.26,28.690001,29.120001,22.207129,3706500
93,2016-05-17,29.059999,29.059999,27.809999,27.93,21.299623,5577400
94,2016-05-18,27.790001,27.879999,27.1,27.32,20.834435,3962200
95,2016-05-19,27.0,27.219999,26.790001,27.17,20.720043,3280400
96,2016-05-20,27.360001,27.51,27.200001,27.309999,20.826803,9292600
97,2016-05-23,27.379999,27.48,27.110001,27.290001,20.811554,3286000
98,2016-05-24,27.450001,27.9,27.200001,27.780001,21.185234,3548700
99,2016-05-25,27.77,27.84,27.4,27.75,21.162354,3388900
100,2016-05-26,27.709999,28.110001,27.66,28.01,21.360636,3050900
101,2016-05-27,28.01,28.18,27.860001,28.110001,21.436893,1916300
102,2016-05-31,28.120001,28.25,27.889999,28.18,21.490276,3295500
103,2016-06-01,28.040001,28.459999,28.02,28.440001,21.688555,2830200
104,2016-06-02,28.379999,28.77,28.32,28.76,21.932589,2904100
105,2016-06-03,28.950001,29.309999,28.700001,28.879999,22.024101,2459600
106,2016-06-06,28.85,28.99,28.5,28.709999,21.894455,2285800
107,2016-06-07,28.700001,28.950001,28.67,28.860001,22.00885,1699600
108,2016-06-08,28.809999,29.25,28.75,29.219999,22.283388,1724000
109,2016-06-09,29.219999,29.43,29.08,29.280001,22.32914,1881900
110,2016-06-10,29.129999,29.43,29.1,29.27,22.321518,2088400
111,2016-06-13,29.32,29.639999,29.059999,29.200001,22.268135,2150600
112,2016-06-14,29.209999,29.280001,28.99,29.139999,22.222378,2388300
113,2016-06-15,29.209999,29.469999,29.09,29.360001,22.390154,2788400
114,2016-06-16,29.27,29.459999,29.1,29.440001,22.45116,2170600
115,2016-06-17,29.370001,29.379999,29.040001,29.33,22.367279,3623000
116,2016-06-20,29.58,29.709999,29.440001,29.469999,22.474041,1991500
117,2016-06-21,29.450001,29.77,29.379999,29.66,22.618935,1839000
118,2016-06-22,29.65,29.76,29.51,29.68,22.634188,1674500
119,2016-06-23,29.799999,29.959999,29.629999,29.73,22.672318,1730900
120,2016-06-24,28.940001,29.84,28.91,29.559999,22.542673,3628300
121,2016-06-27,29.49,30.049999,29.43,29.99,22.870596,3723200
122,2016-06-28,30.23,30.59,29.959999,30.57,23.31291,3041800
123,2016-06-29,30.719999,31.07,30.719999,30.92,23.579823,4808400
124,2016-06-30,30.92,31.379999,30.700001,31.379999,23.930616,3124100
125,2016-07-01,31.1,31.4,30.950001,31.23,24.011349,3039700
126,2016-07-05,31.25,31.73,31.25,31.709999,24.3804,2931900
127,2016-07-06,31.610001,31.799999,31.35,31.51,24.226631,4014500
128,2016-07-07,31.389999,31.42,30.84,31.219999,24.003656,3399200
129,2016-07-08,31.440001,31.6,31.16,31.540001,24.249701,2651000
130,2016-07-11,31.610001,31.790001,31.280001,31.719999,24.388092,4111300
131,2016-07-12,31.76,31.790001,31.16,31.4,24.142052,2351600
132,2016-07-13,31.549999,31.74,31.42,31.57,24.272762,1970100
133,2016-07-14,31.57,31.59,31.200001,31.309999,24.072859,1720300
134,2016-07-15,31.35,31.379999,31.08,31.290001,24.057478,1972800
135,2016-07-18,31.309999,31.389999,31.190001,31.23,24.011349,1988100
136,2016-07-19,31.290001,31.440001,31.120001,31.4,24.142052,2268100
137,2016-07-20,31.51,31.51,31.25,31.370001,24.118984,1681900
138,2016-07-21,31.290001,31.450001,31.09,31.440001,24.17281,1535100
139,2016-07-22,31.43,31.68,31.290001,31.469999,24.195875,2106800
140,2016-07-25,31.5,31.65,31.18,31.34,24.095924,2675800
141,2016-07-26,31.370001,31.459999,31.129999,31.25,24.02673,2154600
142,2016-07-27,31.18,31.309999,30.92,31.120001,23.926775,2098900
143,2016-07-28,31.120001,32.110001,30.440001,31.83,24.472662,2882200
144,2016-07-29,31.73,32.240002,31.67,32.099998,24.680252,2815400
145,2016-08-01,32.07,32.200001,31.93,32.169998,24.734072,2333000
146,2016-08-02,32.040001,32.099998,31.52,31.65,24.33427,3107200
147,2016-08-03,31.629999,31.629999,31.290001,31.450001,24.1805,1953500
148,2016-08-04,31.5,31.5,31.209999,31.219999,24.003656,1912200
149,2016-08-05,31.290001,31.34,31.030001,31.15,23.949839,1603800
150,2016-08-08,31.15,31.309999,31.02,31.16,23.957533,1643200
151,2016-08-09,31.16,31.190001,30.889999,31.16,23.957533,2468800
152,2016-08-10,31.25,31.34,30.93,31.07,23.888332,2308800
153,2016-08-11,31.1,31.18,30.290001,30.42,23.388578,3321200
154,2016-08-12,30.42,30.709999,30.41,30.5,23.450087,2824700
155,2016-08-15,30.5,30.540001,30.379999,30.459999,23.419331,2394600
156,2016-08-16,30.379999,30.459999,29.5,29.559999,22.727358,4242500
157,2016-08-17,29.57,30.0,29.32,30.0,23.065662,4836000
158,2016-08-18,29.91,30.030001,29.73,29.959999,23.034901,2166800
159,2016-08-19,29.83,30.01,29.540001,29.639999,22.78887,2473300
160,2016-08-22,29.67,29.969999,29.59,29.879999,22.973394,2889800
161,2016-08-23,30.0,30.049999,29.690001,29.700001,22.834999,1610900
162,2016-08-24,29.690001,29.77,29.389999,29.68,22.819626,1377800
163,2016-08-25,29.75,30.110001,29.68,29.83,22.934954,1733500
164,2016-08-26,29.959999,30.15,29.35,29.549999,22.719673,3062600
165,2016-08-29,29.65,30.0,29.65,30.0,23.065662,1655000
166,2016-08-30,30.049999,30.049999,29.6,29.98,23.05028,2031500
167,2016-08-31,29.9,30.15,29.83,30.049999,23.104099,3639400
168,2016-09-01,30.059999,30.059999,29.719999,30.0,23.065662,1794100
169,2016-09-02,30.040001,30.4,29.99,30.16,23.188677,2095200
170,2016-09-06,30.18,30.700001,30.01,30.68,23.588482,4141000
171,2016-09-07,30.58,30.67,30.459999,30.58,23.511595,2499400
172,2016-09-08,30.41,30.5,30.219999,30.32,23.311689,3690100
173,2016-09-09,30.030001,30.030001,28.959999,28.959999,22.266048,2793500
174,2016-09-12,28.92,29.610001,28.91,29.49,22.673542,2814700
175,2016-09-13,29.299999,29.360001,28.59,28.65,22.027702,2363400
176,2016-09-14,28.73,28.84,28.540001,28.629999,22.012325,1942000
177,2016-09-15,28.610001,28.76,28.41,28.700001,22.066147,2146100
178,2016-09-16,28.469999,28.709999,28.34,28.639999,22.020016,2858400
179,2016-09-19,28.74,28.98,28.68,28.91,22.227608,1697100
180,2016-09-20,29.16,29.26,28.969999,28.98,22.281424,2092400
181,2016-09-21,28.98,29.360001,28.48,29.33,22.550526,2382200
182,2016-09-22,29.559999,29.93,29.52,29.92,23.004152,2283600
183,2016-09-23,29.780001,30.120001,29.610001,29.950001,23.027214,2399200
184,2016-09-26,29.92,30.24,29.799999,30.129999,23.165607,1899100
185,2016-09-27,30.23,30.24,29.700001,29.76,22.881136,1818600
186,2016-09-28,29.84,30.0,29.65,29.98,23.05028,1309100
187,2016-09-29,29.879999,29.959999,29.23,29.309999,22.535149,1985500
188,2016-09-30,29.5,29.629999,28.940001,28.950001,22.258362,2840600
189,2016-10-03,28.629999,28.629999,28.01,28.1,21.796827,2441400
190,2016-10-04,29.23,29.23,28.049999,28.41,22.037289,11854600
191,2016-10-05,28.450001,28.639999,27.530001,27.809999,21.571875,7950900
192,2016-10-06,27.690001,27.92,27.309999,27.690001,21.478796,4745600
193,2016-10-07,27.870001,28.33,27.77,27.889999,21.63393,4102000
194,2016-10-10,27.950001,28.18,27.950001,28.09,21.789074,2455500
195,2016-10-11,27.84,28.110001,27.67,28.0,21.719255,4508900
196,2016-10-12,28.09,28.290001,28.059999,28.18,21.858881,2739000
197,2016-10-13,28.01,28.5,27.99,28.35,21.990749,2982400
198,2016-10-14,28.35,28.52,28.07,28.09,21.789074,1789600
199,2016-10-17,28.110001,28.35,27.93,27.93,21.664959,2332600
200,2016-10-18,28.09,28.219999,27.99,28.0,21.719255,1554400
201,2016-10-19,28.01,28.1,27.82,28.049999,21.758039,1335700
202,2016-10-20,28.08,28.209999,27.780001,28.040001,21.750282,1498200
203,2016-10-21,27.860001,28.07,27.780001,28.0,21.719255,1458000
204,2016-10-24,28.190001,28.379999,27.780001,27.889999,21.63393,2845300
205,2016-10-25,27.780001,27.860001,27.66,27.67,21.46328,2526300
206,2016-10-26,27.52,27.52,27.0,27.26,21.145247,2719100
207,2016-10-27,27.26,27.26,26.370001,26.43,20.501427,2755800
208,2016-10-28,26.459999,26.620001,25.969999,26.309999,20.408348,5370200
209,2016-10-31,26.450001,26.639999,26.299999,26.610001,20.641056,3287800
210,2016-11-01,26.5,26.540001,25.68,25.860001,20.059286,3385600
211,2016-11-02,25.35,25.629999,25.209999,25.24,19.57836,10669200
212,2016-11-03,25.23,25.5,24.959999,25.0,19.392195,10664900
213,2016-11-04,25.02,25.190001,24.790001,25.08,19.45425,10655600
214,2016-11-07,25.41,25.77,25.27,25.49,19.77228,5662900
215,2016-11-08,25.440001,26.02,25.379999,26.0,20.167881,3913800
216,2016-11-09,25.5,25.66,24.76,25.48,19.764526,4575500
217,2016-11-10,25.5,26.030001,24.9,25.66,19.904152,5048700
218,2016-11-11,25.610001,26.07,25.48,25.57,19.834337,3267400
219,2016-11-14,25.58,26.299999,25.309999,26.16,20.29199,3469100
220,2016-11-15,26.200001,26.51,25.860001,26.07,20.222181,4467400
221,2016-11-16,25.969999,26.200001,25.85,26.120001,20.260969,2365400
