,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,71.589996,71.68,70.860001,71.610001,59.642639,2039800
1,2016-01-05,72.07,72.68,71.540001,71.870003,59.859184,2210500
2,2016-01-06,71.290001,72.300003,71.150002,72.010002,59.975792,2504000
3,2016-01-07,71.089996,71.279999,70.260002,70.370003,58.609867,1933200
4,2016-01-08,71.339996,72.389999,70.379997,71.480003,59.534363,3157400
5,2016-01-11,71.669998,71.919998,71.029999,71.550003,59.592655,1184200
6,2016-01-12,71.959999,72.139999,70.68,71.470001,59.526031,1645500
7,2016-01-13,71.540001,72.239998,70.870003,70.900002,59.0513,1365600
8,2016-01-14,70.949997,72.300003,70.779999,71.669998,59.6926,1681000
9,2016-01-15,70.309998,71.18,70.290001,70.669998,58.859734,2252300
10,2016-01-19,71.019997,71.559998,70.809998,71.239998,59.334469,1529900
11,2016-01-20,70.769997,70.989998,68.730003,70.099998,58.384983,2496600
12,2016-01-21,70.120003,70.529999,69.07,69.959999,58.268375,2301500
13,2016-01-22,70.660004,71.82,70.279999,71.610001,59.642639,1366200
14,2016-01-25,71.199997,71.650002,70.440002,70.510002,58.726467,1289300
15,2016-01-26,70.339996,71.5,70.099998,71.199997,59.301159,2239600
16,2016-01-27,71.419998,72.330002,71.139999,71.57,59.609325,1244800
17,2016-01-28,72.139999,73.239998,71.720001,72.790001,60.62545,1580100
18,2016-01-29,73.099998,73.889999,72.75,73.440002,61.166809,2324900
19,2016-02-01,73.32,74.139999,73.040001,73.589996,61.291725,2443800
20,2016-02-02,73.040001,73.260002,72.269997,72.379997,60.283951,2211000
21,2016-02-03,72.470001,73.050003,71.519997,72.339996,60.250633,1896700
22,2016-02-04,72.019997,72.25,71.400002,71.830002,59.825871,1616200
23,2016-02-05,72.160004,72.599998,71.57,71.839996,59.834198,2253000
24,2016-02-08,71.279999,71.949997,70.739998,71.309998,59.392765,2469600
25,2016-02-09,70.629997,71.690002,70.330002,71.400002,59.467728,2660300
26,2016-02-10,71.790001,72.5,70.559998,70.860001,59.017979,3244700
27,2016-02-11,72.5,74.519997,72.230003,73.690002,61.375019,5267100
28,2016-02-12,74.330002,75.010002,73.699997,74.970001,62.441109,2599400
29,2016-02-16,74.339996,75.330002,73.830002,75.190002,62.624348,3284700
30,2016-02-17,75.099998,76.239998,75.010002,75.75,63.090763,2535500
31,2016-02-18,75.839996,76.0,74.809998,75.790001,63.124088,2039400
32,2016-02-19,75.610001,75.760002,74.989998,75.519997,62.899189,2124700
33,2016-02-22,75.519997,75.519997,73.400002,73.82,61.483303,3852900
34,2016-02-23,73.550003,74.580002,73.540001,74.120003,61.73315,2809500
35,2016-02-24,73.919998,74.25,73.529999,73.910004,61.558266,2257000
36,2016-02-25,74.139999,74.970001,74.040001,74.910004,62.391148,2083400
37,2016-02-26,74.580002,74.910004,72.900002,73.449997,61.586197,2872200
38,2016-02-29,73.239998,74.510002,73.07,74.019997,62.064129,2097600
39,2016-03-01,74.559998,74.669998,74.0,74.169998,62.189899,1841600
40,2016-03-02,73.900002,75.139999,73.110001,75.089996,62.961311,3353000
41,2016-03-03,74.709999,74.900002,74.160004,74.839996,62.751686,2163000
42,2016-03-04,74.839996,75.5,74.510002,75.230003,63.078697,1701300
43,2016-03-07,74.940002,75.199997,74.639999,74.93,62.827141,1456600
44,2016-03-08,74.639999,75.129997,74.5,74.839996,62.751686,1227600
45,2016-03-09,75.25,75.919998,74.980003,75.199997,63.053528,1299100
46,2016-03-10,75.199997,75.610001,74.860001,75.239998,63.087074,1358500
47,2016-03-11,75.5,75.699997,75.099998,75.529999,63.330227,1205800
48,2016-03-14,75.300003,75.419998,74.720001,74.949997,62.843918,2089700
49,2016-03-15,74.519997,75.360001,74.220001,75.089996,62.961311,1208000
50,2016-03-16,75.349998,75.860001,74.5,75.629997,63.414078,1732200
51,2016-03-17,75.919998,76.809998,75.699997,76.440002,64.093262,2155500
52,2016-03-18,76.529999,76.580002,75.839996,76.160004,63.858471,2632200
53,2016-03-21,75.790001,76.050003,75.389999,75.489998,63.296703,1480900
54,2016-03-22,75.260002,75.440002,74.099998,74.43,62.407906,2415900
55,2016-03-23,74.339996,75.360001,74.199997,75.040001,62.919376,1841200
56,2016-03-24,74.93,75.629997,74.68,75.440002,63.254768,1212000
57,2016-03-28,75.370003,75.959999,75.330002,75.669998,63.447628,1088100
58,2016-03-29,75.779999,76.889999,75.629997,76.589996,64.219009,1841500
59,2016-03-30,76.849998,77.050003,76.5,76.830002,64.420273,1698900
60,2016-03-31,76.529999,76.870003,76.389999,76.550003,64.185486,1902300
61,2016-04-01,75.709999,77.980003,75.529999,77.860001,65.28389,2277400
62,2016-04-04,77.879997,78.099998,77.0,78.07,65.459969,2986200
63,2016-04-05,77.900002,78.0,76.650002,76.809998,64.403488,1991700
64,2016-04-06,78.0,78.0,77.269997,77.779999,65.216797,2315900
65,2016-04-07,77.580002,77.68,76.900002,77.110001,64.655037,1232600
66,2016-04-08,77.209999,77.5,76.809998,77.25,64.772415,819000
67,2016-04-11,77.360001,77.830002,76.879997,76.989998,64.554398,1091800
68,2016-04-12,77.050003,77.529999,77.050003,77.339996,64.84787,912800
69,2016-04-13,77.5,77.5,76.400002,76.669998,64.28611,1685100
70,2016-04-14,76.690002,77.110001,76.400002,76.459999,64.110023,2205800
71,2016-04-15,76.510002,77.599998,76.400002,77.550003,65.023964,2237500
72,2016-04-18,77.550003,77.849998,77.139999,77.669998,65.12458,1399200
73,2016-04-19,77.690002,77.790001,77.050003,77.599998,65.065887,1541800
74,2016-04-20,77.540001,77.769997,76.580002,76.709999,64.319641,1373300
75,2016-04-21,76.75,76.75,74.959999,74.989998,62.877468,1862300
76,2016-04-22,75.07,75.349998,74.720001,75.279999,63.120602,1210600
77,2016-04-25,75.150002,76.099998,75.120003,75.800003,63.556633,1312100
78,2016-04-26,75.910004,76.040001,75.190002,75.32,63.154156,1767900
79,2016-04-27,75.559998,76.639999,75.489998,76.389999,64.051338,1397100
80,2016-04-28,75.919998,76.910004,75.790001,76.480003,64.126793,859500
81,2016-04-29,76.410004,76.940002,76.059998,76.809998,64.403488,1300500
82,2016-05-02,77.0,77.690002,76.800003,77.440002,64.931732,1427300
83,2016-05-03,77.129997,77.629997,76.650002,76.849998,64.437027,1873200
84,2016-05-04,76.550003,77.349998,76.529999,77.019997,64.579575,3060200
85,2016-05-05,75.900002,76.660004,74.879997,75.050003,62.927776,3398600
86,2016-05-06,74.910004,75.290001,73.699997,75.019997,62.902592,3021200
87,2016-05-09,75.0,75.690002,74.709999,75.339996,63.170933,2101700
