,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,49.169998,49.169998,47.970001,49.099998,42.616562,1959000
1,2016-01-05,49.299999,49.509998,48.490002,49.139999,42.651276,2012900
2,2016-01-06,48.02,48.240002,46.59,46.919998,40.724419,2168400
3,2016-01-07,45.540001,45.950001,45.130001,45.360001,39.581303,3420800
4,2016-01-08,45.860001,46.34,44.119999,44.240002,38.604,3202600
5,2016-01-11,44.529999,44.700001,42.43,43.200001,37.696491,4932400
6,2016-01-12,43.779999,44.130001,42.720001,43.5,37.95826,2697500
7,2016-01-13,43.5,43.919998,41.52,41.779999,36.457394,2665800
8,2016-01-14,41.970001,42.139999,40.900002,41.509998,36.221794,3287000
9,2016-01-15,39.900002,40.619999,39.490002,40.419998,35.270645,3154900
10,2016-01-19,41.0,41.169998,39.400002,39.689999,34.633644,2269500
11,2016-01-20,38.34,38.650002,36.73,38.200001,33.333462,4430600
12,2016-01-21,38.189999,39.389999,37.66,38.57,33.656326,2437600
13,2016-01-22,39.650002,40.360001,39.380001,39.59,34.546379,2814400
14,2016-01-25,39.400002,39.619999,38.400002,38.529999,33.621426,2698200
15,2016-01-26,38.869999,39.59,38.669998,39.130001,34.144989,1839800
16,2016-01-27,39.080002,40.18,38.599998,38.880001,33.926834,2201400
17,2016-01-28,39.419998,39.630001,38.310001,38.57,33.656326,2164200
18,2016-01-29,38.849998,39.490002,38.41,39.459999,34.432949,2300100
19,2016-02-01,39.130001,39.419998,38.779999,39.23,34.232246,2326600
20,2016-02-02,38.450001,38.450001,37.299999,37.509998,32.731373,3308100
21,2016-02-03,38.0,38.189999,36.23,37.509998,32.731373,3807300
22,2016-02-04,37.060001,37.630001,35.220001,35.91,31.335205,4308100
23,2016-02-05,35.900002,36.849998,35.52,35.779999,31.221754,3626900
24,2016-02-08,34.900002,34.959999,33.029999,33.400002,29.144964,3933500
25,2016-02-09,32.610001,33.970001,32.470001,33.799999,29.494013,4549200
26,2016-02-10,34.139999,35.029999,34.040001,34.279999,29.912861,3435200
27,2016-02-11,33.009998,33.040001,30.389999,30.780001,26.858747,5278900
28,2016-02-12,31.620001,32.990002,31.5,32.650002,28.490515,2882900
29,2016-02-16,33.380001,34.240002,32.889999,33.919998,29.598721,3664700
30,2016-02-17,34.400002,36.099998,34.380001,35.880001,31.309027,4814000
31,2016-02-18,35.84,36.09,35.560001,35.919998,31.343929,3835600
32,2016-02-19,35.57,35.990002,35.290001,35.959999,31.378832,2430200
33,2016-02-22,36.720001,38.150002,36.509998,36.720001,32.042011,2769900
34,2016-02-23,36.470001,36.73,35.330002,35.869999,31.300289,2775300
35,2016-02-24,35.02,35.639999,34.16,35.5,30.977442,2479300
36,2016-02-25,35.330002,36.400002,35.27,36.400002,31.762777,2007000
37,2016-02-26,36.759998,38.09,36.759998,37.509998,32.731373,3454400
38,2016-02-29,37.380001,37.5,36.529999,36.529999,31.876215,2350800
39,2016-03-01,36.91,38.950001,36.91,38.889999,33.935566,3042900
40,2016-03-02,38.880001,39.830002,38.639999,39.240002,34.240967,3015500
41,2016-03-03,39.169998,40.0,39.009998,39.799999,34.729622,1879700
42,2016-03-04,40.119999,40.470001,39.049999,39.529999,34.494034,3370500
43,2016-03-07,39.240002,39.84,39.029999,39.439999,34.415493,2488900
44,2016-03-08,38.580002,39.18,37.419998,38.049999,33.202572,2900200
45,2016-03-09,38.490002,38.740002,37.630001,38.110001,33.254929,2676100
46,2016-03-10,38.470001,39.060001,37.580002,38.130001,33.272377,2274700
47,2016-03-11,38.880001,40.110001,38.799999,40.060001,34.956509,3181800
48,2016-03-14,39.759998,40.669998,39.66,40.389999,35.244457,2800200
49,2016-03-15,39.84,40.029999,39.369999,39.939999,34.851799,2005500
50,2016-03-16,39.869999,40.900002,39.68,40.290001,35.157211,2861200
51,2016-03-17,40.02,41.16,39.740002,40.849998,35.645863,1911400
52,2016-03-18,41.049999,41.959999,40.93,41.669998,36.361397,4422600
53,2016-03-21,41.439999,42.060001,41.0,41.470001,36.18689,2024200
54,2016-03-22,40.919998,41.41,40.689999,41.139999,35.898926,1776800
55,2016-03-23,41.040001,41.169998,40.220001,40.32,35.18338,1866200
56,2016-03-24,39.169998,39.619999,38.580002,39.27,34.267147,2997200
57,2016-03-28,39.560001,40.049999,39.279999,39.869999,34.79071,1568000
58,2016-03-29,39.5,39.709999,38.919998,39.59,34.546379,1676300
59,2016-03-30,39.98,41.23,39.560001,39.970001,34.877979,2721200
60,2016-03-31,39.889999,40.130001,38.939999,39.200001,34.206074,2977800
61,2016-04-01,39.049999,39.860001,38.380001,39.810001,34.738358,2555700
62,2016-04-04,39.75,40.060001,39.34,39.470001,34.441677,1882900
63,2016-04-05,38.970001,39.09,38.490002,38.580002,33.665054,2178100
64,2016-04-06,39.0,39.580002,38.330002,38.650002,33.726143,3553200
65,2016-04-07,38.220001,38.669998,37.119999,37.369999,32.821507,2977600
66,2016-04-08,37.98,38.220001,37.369999,37.52,32.953251,2207500
67,2016-04-11,37.82,38.790001,37.790001,38.259998,33.603176,2054100
68,2016-04-12,38.490002,39.34,38.279999,39.27,34.490238,2260100
69,2016-04-13,39.880001,41.110001,39.759998,40.990002,36.000904,2057000
70,2016-04-14,40.889999,41.450001,40.490002,40.990002,36.000904,2436400
71,2016-04-15,40.93,40.93,40.389999,40.700001,35.746189,1352300
72,2016-04-18,40.48,41.049999,40.25,41.02,36.027248,1155100
73,2016-04-19,41.130001,41.849998,41.119999,41.779999,36.694744,1423800
74,2016-04-20,42.02,43.389999,41.82,43.209999,37.950684,2210300
75,2016-04-21,43.299999,43.810001,43.27,43.540001,38.240524,2851800
76,2016-04-22,43.759998,44.720001,43.580002,44.34,38.943153,2134000
77,2016-04-25,44.0,44.189999,43.16,43.790001,38.460091,1686500
78,2016-04-26,44.049999,44.509998,43.869999,44.5,39.083672,1317800
79,2016-04-27,44.209999,44.799999,44.080002,44.630001,39.197853,1995600
80,2016-04-28,43.950001,44.419998,43.599998,43.73,38.407391,1769700
81,2016-04-29,43.529999,44.139999,43.009998,43.450001,38.161476,2983700
82,2016-05-02,43.560001,44.209999,43.040001,44.130001,38.758709,1659700
83,2016-05-03,43.16,43.220001,42.27,43.16,37.906765,2274000
84,2016-05-04,42.150002,42.799999,41.950001,42.639999,37.450062,2413900
85,2016-05-05,40.650002,41.790001,40.16,40.869999,35.8955,5402300
86,2016-05-06,40.450001,41.740002,40.299999,41.419998,36.378559,3622600
87,2016-05-09,41.43,41.880001,41.23,41.599998,36.536648,2713300
88,2016-05-10,41.939999,43.299999,41.84,42.990002,37.757469,2832400
89,2016-05-11,42.889999,43.959999,42.779999,42.950001,37.72234,3219700
90,2016-05-12,43.52,43.889999,42.439999,43.040001,37.801384,3063600
91,2016-05-13,42.91,43.799999,42.509998,42.59,37.406147,3238000
92,2016-05-16,42.720001,43.57,42.549999,43.139999,37.88921,1912000
93,2016-05-17,43.02,43.970001,42.900002,43.279999,38.012169,1943200
94,2016-05-18,43.310001,45.57,43.310001,45.07,39.584297,2924100
95,2016-05-19,44.77,45.279999,43.919998,44.380001,38.978283,2499400
96,2016-05-20,44.740002,45.5,44.48,44.59,39.16272,2325700
97,2016-05-23,44.41,44.740002,44.119999,44.259998,38.872883,2684900
98,2016-05-24,44.689999,45.34,44.470001,45.009998,39.531601,3871500
99,2016-05-25,45.369999,46.43,45.369999,45.84,40.260578,2303900
100,2016-05-26,45.82,45.91,45.110001,45.27,39.759945,2073100
101,2016-05-27,45.52,46.16,44.810001,46.16,40.541622,1517900
102,2016-05-31,46.490002,46.689999,45.43,45.849998,40.269367,2871500
103,2016-06-01,45.310001,45.869999,44.369999,45.709999,40.146397,2234100
104,2016-06-02,45.48,46.049999,45.279999,46.049999,40.445023,1964400
105,2016-06-03,45.060001,45.060001,43.75,44.43,39.022194,3358000
106,2016-06-06,44.549999,45.669998,44.450001,45.490002,39.953167,1660200
107,2016-06-07,45.439999,45.889999,44.860001,45.5,39.961956,2029600
108,2016-06-08,45.389999,46.09,44.720001,45.650002,40.093697,1654100
109,2016-06-09,45.18,45.220001,44.200001,44.330002,38.934368,2158800
110,2016-06-10,43.5,43.57,42.869999,43.040001,37.801384,2676600
111,2016-06-13,42.650002,43.349998,42.380001,42.830002,37.616943,3277900
112,2016-06-14,42.650002,43.16,41.860001,42.07,36.949448,2484200
113,2016-06-15,42.369999,43.029999,41.950001,42.009998,36.896751,1960200
114,2016-06-16,41.470001,41.990002,40.970001,41.950001,36.844044,2389200
115,2016-06-17,42.049999,42.470001,41.709999,42.110001,36.984573,2106600
116,2016-06-20,43.09,43.580002,42.560001,42.599998,37.414925,1728900
117,2016-06-21,42.779999,42.93,42.169998,42.580002,37.397362,1553700
118,2016-06-22,42.700001,43.200001,42.599998,42.66,37.467628,1494800
119,2016-06-23,43.59,44.369999,43.509998,44.369999,38.96949,1602600
120,2016-06-24,41.060001,41.900002,38.439999,38.470001,33.787624,5033100
121,2016-06-27,37.529999,37.619999,35.27,35.5,31.179115,4410100
122,2016-06-28,36.470001,36.869999,36.009998,36.77,32.294537,3307100
123,2016-06-29,36.889999,38.0,36.32,37.939999,33.322128,3905100
124,2016-06-30,38.09,38.77,37.549999,38.77,34.051105,3689700
125,2016-07-01,37.639999,39.060001,37.639999,38.75,34.033543,3397100
126,2016-07-05,37.900002,38.23,36.57,37.099998,32.58437,3188300
127,2016-07-06,36.610001,37.630001,36.0,37.610001,33.032284,3957200
128,2016-07-07,37.549999,38.68,36.959999,37.490002,33.147228,5069900
129,2016-07-08,38.380001,39.299999,38.360001,38.880001,34.376217,3214300
130,2016-07-11,39.299999,39.759998,38.93,39.549999,34.968601,2863400
131,2016-07-12,40.360001,41.779999,40.259998,41.389999,36.595463,3654900
132,2016-07-13,41.139999,41.389999,40.23,40.959999,36.215263,2524300
133,2016-07-14,42.169998,42.959999,41.759998,42.869999,37.904018,3835000
134,2016-07-15,43.029999,43.34,42.130001,42.689999,37.744873,2943200
135,2016-07-18,42.48,43.490002,42.27,43.220001,38.213486,1720600
136,2016-07-19,42.779999,43.369999,42.619999,43.310001,38.293064,1436900
137,2016-07-20,43.509998,43.66,42.93,43.43,38.399151,1627100
138,2016-07-21,43.549999,43.810001,43.18,43.32,38.301899,1793600
139,2016-07-22,43.450001,43.509998,42.959999,43.450001,38.416836,1280300
140,2016-07-25,43.360001,43.400002,43.040001,43.220001,38.213486,1178800
141,2016-07-26,43.049999,43.75,43.009998,43.700001,38.637878,1072300
142,2016-07-27,43.700001,43.919998,43.099998,43.369999,38.346104,1926800
143,2016-07-28,43.34,43.790001,42.84,43.709999,38.646713,1282600
144,2016-07-29,43.369999,43.860001,43.209999,43.669998,38.611359,1237700
145,2016-08-01,43.84,43.91,43.0,43.27,38.257698,1307100
146,2016-08-02,43.240002,43.630001,42.240002,42.810001,37.850975,2531000
147,2016-08-03,42.91,44.849998,42.849998,44.799999,39.610462,2862600
148,2016-08-04,44.209999,44.349998,42.75,43.0,38.018967,3031300
149,2016-08-05,43.84,45.869999,43.540001,45.509998,40.238213,3392000
150,2016-08-08,45.790001,46.400002,45.540001,46.139999,40.795235,1685400
151,2016-08-09,46.189999,46.459999,45.849998,46.110001,40.768707,1872500
152,2016-08-10,45.990002,46.009998,45.080002,45.130001,39.902233,2362900
153,2016-08-11,45.27,45.860001,45.099998,45.66,40.370827,1690600
154,2016-08-12,45.009998,45.34,44.68,45.220001,39.981808,1093800
155,2016-08-15,45.59,46.139999,45.59,46.080002,40.74218,1095400
156,2016-08-16,45.950001,46.450001,45.810001,46.099998,40.759869,1477700
157,2016-08-17,46.049999,46.330002,45.919998,46.189999,40.839436,1626500
158,2016-08-18,46.09,46.18,45.389999,45.630001,40.344315,2258600
159,2016-08-19,45.41,45.98,45.32,45.849998,40.538834,1501800
160,2016-08-22,45.32,45.75,45.27,45.650002,40.361996,1333800
161,2016-08-23,45.959999,46.450001,45.900002,45.919998,40.600727,1394500
162,2016-08-24,46.169998,46.400002,45.799999,45.91,40.591873,1344800
163,2016-08-25,45.779999,46.459999,45.779999,46.43,41.051643,1384100
164,2016-08-26,46.59,47.279999,46.200001,46.580002,41.184273,1604500
165,2016-08-29,46.619999,47.599998,46.619999,47.209999,41.74128,1266800
166,2016-08-30,47.209999,48.259998,47.209999,48.080002,42.510513,1732300
167,2016-08-31,48.110001,48.48,47.400002,48.029999,42.466305,2037500
168,2016-09-01,48.200001,48.470001,46.98,47.439999,41.944641,1662300
169,2016-09-02,47.75,48.240002,47.400002,48.060001,42.492825,1615700
170,2016-09-06,47.990002,47.990002,46.560001,47.0,41.555618,1576800
171,2016-09-07,46.849998,47.07,46.470001,46.93,41.493725,1283400
172,2016-09-08,47.09,47.259998,46.689999,47.139999,41.67939,1468500
173,2016-09-09,47.080002,48.139999,46.959999,46.970001,41.529087,1960300
174,2016-09-12,46.459999,47.52,45.75,47.259998,41.785496,2045200
175,2016-09-13,46.529999,47.32,46.299999,47.110001,41.652866,2957300
176,2016-09-14,47.110001,47.25,46.27,46.82,41.396465,2313400
177,2016-09-15,46.799999,47.799999,46.689999,47.59,42.077274,1657700
178,2016-09-16,47.110001,47.16,46.139999,46.259998,40.901325,3143500
179,2016-09-19,46.66,47.139999,46.240002,46.490002,41.104694,1418000
180,2016-09-20,46.93,46.990002,46.299999,46.41,41.033962,1422400
181,2016-09-21,46.84,47.299999,46.450001,47.16,41.697075,2054600
182,2016-09-22,47.369999,47.52,46.349998,46.650002,41.246166,1985400
183,2016-09-23,46.259998,46.950001,46.029999,46.299999,40.936699,1483400
184,2016-09-26,45.560001,45.939999,45.25,45.52,40.247055,1439600
185,2016-09-27,45.220001,46.169998,44.740002,46.049999,40.71566,1240800
186,2016-09-28,46.240002,46.610001,45.669998,46.57,41.175423,1449800
187,2016-09-29,46.540001,47.040001,45.580002,45.869999,40.556515,1252200
188,2016-09-30,46.389999,47.330002,45.939999,46.98,41.537918,1633400
189,2016-10-03,46.709999,47.41,46.619999,47.150002,41.68824,1297500
190,2016-10-04,47.450001,48.369999,47.290001,47.799999,42.262951,2091900
191,2016-10-05,47.939999,49.259998,47.77,49.080002,43.622826,2638000
192,2016-10-06,49.73,50.0,48.720001,49.200001,43.729473,1856500
193,2016-10-07,49.299999,49.299999,48.290001,48.66,43.249519,1310000
194,2016-10-10,49.139999,49.59,49.07,49.279999,43.800591,1043000
195,2016-10-11,49.25,49.439999,48.540001,48.73,43.311749,1205100
196,2016-10-12,48.799999,49.139999,48.549999,48.900002,43.462841,1330400
197,2016-10-13,48.189999,48.470001,47.360001,48.240002,42.876221,1641100
198,2016-10-14,49.029999,49.540001,48.669998,48.900002,43.462841,1516500
199,2016-10-17,48.799999,49.310001,48.580002,48.82,43.391735,1689900
200,2016-10-18,49.669998,49.709999,48.779999,48.82,43.391735,1669300
201,2016-10-19,49.02,49.330002,48.869999,49.139999,43.676155,1159100
202,2016-10-20,48.91,49.169998,48.490002,48.830002,43.400623,993000
203,2016-10-21,48.150002,48.560001,47.709999,48.48,43.089527,1018500
204,2016-10-24,48.889999,49.150002,48.57,48.77,43.34729,816900
205,2016-10-25,48.779999,48.990002,48.080002,48.240002,42.876221,952400
206,2016-10-26,47.970001,49.0,47.970001,48.93,43.489502,922200
207,2016-10-27,49.5,50.16,49.139999,49.709999,44.18277,1477300
208,2016-10-28,49.610001,50.330002,49.02,49.43,43.933907,1449600
209,2016-10-31,49.720001,49.970001,49.060001,49.09,43.63171,1283500
210,2016-11-01,49.389999,49.759998,48.119999,48.830002,43.400623,1644300
211,2016-11-02,48.490002,48.91,47.900002,48.459999,43.071758,2182600
212,2016-11-03,50.470001,52.450001,50.040001,51.369999,45.658192,3469700
213,2016-11-04,51.369999,51.669998,50.23,50.279999,44.689388,2730800
214,2016-11-07,51.419998,52.16,51.419998,52.139999,46.342587,2414400
215,2016-11-08,51.98,52.93,51.23,52.66,46.804764,2200800
216,2016-11-09,54.049999,58.0,53.860001,57.509998,51.11549,4953300
217,2016-11-10,58.439999,60.709999,57.869999,59.02,52.457596,4352400
218,2016-11-11,58.25,60.220001,58.139999,60.110001,53.426403,1936700
219,2016-11-14,60.950001,62.860001,60.52,61.400002,54.572968,3003600
220,2016-11-15,61.119999,62.77,60.310001,62.43,55.488441,2835000
221,2016-11-16,61.59,62.119999,60.790001,61.48,54.644073,1725900
222,2016-11-17,61.580002,62.619999,61.009998,62.619999,55.657322,2543300
223,2016-11-18,62.459999,63.080002,61.830002,62.240002,55.319576,2033100
224,2016-11-21,62.849998,63.389999,62.16,63.189999,56.163937,1403000
225,2016-11-22,63.380001,63.950001,63.099998,63.650002,56.572796,1505700
226,2016-11-23,64.0,64.709999,63.450001,64.150002,57.017204,1109400
227,2016-11-25,64.099998,64.169998,63.52,64.150002,57.017204,540900
228,2016-11-28,63.41,64.220001,62.93,63.150002,56.128387,1578200
229,2016-11-29,63.48,63.799999,63.040001,63.32,56.279484,1313100
230,2016-11-30,64.699997,64.82,63.77,64.099998,56.972752,2046600
231,2016-12-01,64.870003,66.610001,64.769997,66.150002,58.794827,1813600
232,2016-12-02,65.809998,66.0,64.379997,65.120003,57.879345,1453300
233,2016-12-05,65.599998,66.129997,64.360001,65.010002,57.781582,2775100
234,2016-12-06,65.519997,66.389999,65.239998,66.150002,58.794827,1589200
235,2016-12-07,66.089996,67.190002,66.089996,67.150002,59.683632,1453300
236,2016-12-08,67.629997,69.300003,67.25,68.480003,60.865742,1712800
