,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,22.719999,22.719999,21.75,22.25,21.026812,7464400
1,2016-01-05,22.4,22.969999,22.209999,22.75,21.499327,8259600
2,2016-01-06,22.23,22.610001,22.01,22.389999,21.159115,6746200
3,2016-01-07,21.719999,21.799999,20.35,20.620001,19.486423,12776100
4,2016-01-08,20.83,21.209999,20.35,20.49,19.363567,8428600
5,2016-01-11,20.780001,21.09,20.41,20.83,19.684874,6309100
6,2016-01-12,21.09,21.709999,20.620001,21.129999,19.96838,7450300
7,2016-01-13,21.35,21.5,19.91,20.02,18.919407,7829300
8,2016-01-14,20.02,20.57,19.51,20.27,19.155663,7324900
9,2016-01-15,20.08,20.459999,19.469999,19.860001,18.768202,11496000
10,2016-01-19,20.299999,20.299999,19.26,19.629999,18.550846,7816300
11,2016-01-20,19.139999,19.5,17.549999,19.110001,18.059433,14078900
12,2016-01-21,19.16,19.370001,18.66,19.02,17.974382,6726400
13,2016-01-22,19.5,19.77,19.01,19.34,18.276789,6052600
14,2016-01-25,19.4,19.75,18.860001,18.889999,17.851526,4975900
15,2016-01-26,18.940001,19.16,18.57,19.110001,18.059433,5806500
16,2016-01-27,19.219999,19.790001,19.129999,19.469999,18.399639,7831000
17,2016-01-28,19.92,20.34,19.120001,19.280001,18.220087,12525300
18,2016-01-29,19.469999,20.17,19.440001,20.08,18.97611,8811600
19,2016-02-01,20.030001,20.25,19.5,20.049999,18.947754,6807300
20,2016-02-02,19.809999,19.870001,18.959999,19.09,18.040533,7966100
21,2016-02-03,19.32,19.360001,17.889999,18.549999,17.530224,9291800
22,2016-02-04,18.629999,19.18,18.469999,18.77,17.738127,7514600
23,2016-02-05,18.76,18.76,17.620001,17.879999,16.897055,10225500
24,2016-02-08,17.700001,17.77,16.360001,16.870001,15.942575,13193300
25,2016-02-09,16.5,17.209999,16.18,16.559999,15.649618,9303300
26,2016-02-10,16.75,17.799999,16.75,17.17,16.226084,9199400
27,2016-02-11,16.76,17.15,16.51,16.93,15.999279,8621900
28,2016-02-12,17.34,18.23,17.33,18.110001,17.114412,11436700
29,2016-02-16,18.6,19.190001,18.5,19.15,18.097235,10125200
30,2016-02-17,19.27,20.139999,19.27,20.07,18.966658,13946200
31,2016-02-18,19.379999,19.42,18.190001,18.4,17.388466,26320000
32,2016-02-19,18.23,18.23,17.34,18.059999,17.067154,15891400
33,2016-02-22,18.889999,19.08,18.6,18.76,17.728674,10291300
34,2016-02-23,18.65,18.809999,18.139999,18.219999,17.218365,6894500
35,2016-02-24,17.98,18.299999,17.48,18.25,17.246712,6525500
36,2016-02-25,18.299999,18.459999,17.74,18.34,17.331766,7037300
37,2016-02-26,18.690001,19.0,18.5,18.870001,17.832632,6825100
38,2016-02-29,18.870001,19.18,18.74,18.93,17.889328,5794500
39,2016-03-01,19.35,20.129999,19.09,19.93,18.834356,9277500
40,2016-03-02,20.09,20.459999,19.77,20.27,19.155663,7338400
41,2016-03-03,20.110001,20.379999,19.67,20.33,19.212366,7424300
42,2016-03-04,20.379999,20.389999,19.559999,19.809999,18.720953,10203300
43,2016-03-07,19.51,20.01,19.49,19.82,18.730402,6151800
44,2016-03-08,19.52,19.84,19.280001,19.33,18.26734,8082200
45,2016-03-09,19.66,20.18,19.549999,20.049999,18.947754,9833900
46,2016-03-10,20.200001,20.49,20.02,20.34,19.221813,6494200
47,2016-03-11,20.51,20.83,20.5,20.809999,19.665974,4859800
48,2016-03-14,20.73,21.190001,20.700001,20.940001,19.788832,4929400
49,2016-03-15,21.17,21.43,20.469999,20.67,19.533674,5182800
