,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,62.450001,62.580002,60.59,60.970001,57.983536,351600
1,2016-01-05,60.93,61.540001,59.369999,59.900002,56.96595,362100
2,2016-01-06,59.0,59.599998,58.540001,58.91,56.024448,282200
3,2016-01-07,57.970001,59.209999,56.900002,57.209999,54.407722,380700
4,2016-01-08,57.360001,58.82,57.200001,57.349998,54.540859,416100
5,2016-01-11,57.57,58.93,56.93,58.43,55.567947,204600
6,2016-01-12,59.139999,59.349998,58.040001,59.09,56.195621,264700
7,2016-01-13,59.169998,59.68,57.779999,58.189999,55.339706,251200
8,2016-01-14,58.610001,60.07,58.150002,59.810001,56.880356,318500
9,2016-01-15,57.849998,58.380001,56.330002,57.419998,54.607422,394900
10,2016-01-19,57.970001,58.68,56.240002,57.299999,54.493309,351900
11,2016-01-20,56.610001,59.029999,55.810001,58.240002,55.387272,394100
12,2016-01-21,58.650002,60.66,57.02,60.040001,57.099094,455900
13,2016-01-22,61.040001,61.950001,60.52,61.59,58.573166,325500
14,2016-01-25,61.07,62.459999,61.049999,61.360001,58.354435,400200
15,2016-01-26,61.610001,61.950001,61.0,61.32,58.316395,257900
16,2016-01-27,60.91,61.189999,59.5,59.66,56.737701,170800
17,2016-01-28,60.439999,60.68,60.049999,60.380001,57.42244,184100
18,2016-01-29,60.900002,62.700001,60.73,62.57,59.505169,418100
19,2016-02-01,62.470001,62.82,60.32,62.299999,59.24839,231500
20,2016-02-02,61.48,61.939999,58.139999,58.98,56.091007,427600
21,2016-02-03,59.48,59.75,57.540001,58.259998,55.406292,384600
22,2016-02-04,58.0,58.509998,57.119999,58.259998,55.406292,838900
23,2016-02-05,61.200001,62.490002,59.16,60.009998,57.070564,858800
24,2016-02-08,58.990002,60.689999,55.419998,56.360001,53.59935,1035100
25,2016-02-09,55.91,57.200001,55.209999,56.209999,53.456699,415900
26,2016-02-10,56.369999,58.209999,56.200001,56.5,53.732491,415300
27,2016-02-11,55.450001,56.77,55.209999,56.259998,53.50425,182400
28,2016-02-12,56.759998,57.259998,55.34,56.759998,53.979748,171800
29,2016-02-16,57.73,58.5,56.880001,58.09,55.24461,199600
30,2016-02-17,58.360001,59.23,57.68,58.830002,55.94836,197300
31,2016-02-18,59.0,59.5,57.939999,58.119999,55.273136,222600
32,2016-02-19,58.209999,58.82,57.119999,58.389999,55.529922,255700
33,2016-02-22,58.91,59.5,58.419998,58.77,55.891312,245700
34,2016-02-23,58.599998,59.790001,57.799999,58.220001,55.368244,209500
35,2016-02-24,57.470001,57.630001,55.689999,57.290001,54.483791,365200
36,2016-02-25,57.5,57.950001,55.049999,57.849998,55.016354,326300
37,2016-02-26,58.150002,58.759998,58.150002,58.740002,55.862774,227800
38,2016-02-29,58.389999,59.490002,58.389999,59.060001,56.167091,328800
39,2016-03-01,58.599998,60.299999,58.290001,60.259998,57.308315,297700
40,2016-03-02,60.0,60.900002,59.599998,60.509998,57.546074,215100
41,2016-03-03,60.5,60.82,59.48,60.459999,57.498524,210100
42,2016-03-04,60.790001,61.939999,59.77,61.799999,58.772881,346800
43,2016-03-07,61.279999,62.369999,60.98,61.509998,58.497089,270900
44,2016-03-08,61.169998,61.25,58.599998,58.860001,55.976898,204900
45,2016-03-09,59.150002,59.810001,58.009998,59.77,56.842316,177600
46,2016-03-10,60.139999,60.93,58.84,59.650002,56.72821,159100
47,2016-03-11,60.110001,61.16,59.290001,61.080002,58.08815,196900
48,2016-03-14,61.209999,61.32,59.84,60.330002,57.374886,149800
49,2016-03-15,59.889999,60.009998,59.0,59.68,56.756733,375200
50,2016-03-16,59.380001,60.650002,58.740002,60.419998,57.460472,158100
51,2016-03-17,60.27,60.689999,59.41,60.59,57.622158,227200
52,2016-03-18,60.889999,62.560001,59.889999,62.540001,59.476643,459000
53,2016-03-21,62.369999,62.450001,61.240002,61.450001,58.440033,169000
54,2016-03-22,61.060001,61.740002,60.919998,61.529999,58.516113,232400
55,2016-03-23,61.52,61.889999,60.900002,60.93,57.945496,205900
56,2016-03-24,60.540001,61.240002,59.310001,61.209999,58.211792,131500
57,2016-03-28,61.57,61.810001,60.66,60.919998,57.935993,169100
58,2016-03-29,60.549999,62.310001,60.25,62.169998,59.319508,306300
59,2016-03-30,62.709999,63.209999,62.049999,62.549999,59.682083,166500
60,2016-03-31,62.389999,64.120003,61.939999,63.639999,60.722115,366900
61,2016-04-01,63.029999,64.690002,62.68,64.449997,61.494972,228100
62,2016-04-04,64.720001,65.260002,63.450001,63.470001,60.559895,238300
63,2016-04-05,62.970001,63.349998,62.5,62.84,59.958797,209800
64,2016-04-06,62.790001,64.080002,62.709999,63.889999,60.960655,229300
65,2016-04-07,63.639999,63.98,62.52,63.470001,60.559895,357100
66,2016-04-08,63.810001,64.25,63.400002,63.650002,60.731659,200000
67,2016-04-11,64.059998,64.400002,63.400002,63.52,60.607613,166600
68,2016-04-12,63.68,64.169998,62.950001,63.540001,60.626694,197500
69,2016-04-13,63.950001,66.019997,63.68,65.889999,62.868935,304500
70,2016-04-14,65.889999,66.0,64.32,65.260002,62.267841,246700
71,2016-04-15,64.980003,65.739998,64.480003,64.690002,61.723976,220900
72,2016-04-18,64.18,65.209999,64.18,64.919998,61.94342,201800
73,2016-04-19,65.129997,65.129997,63.419998,63.939999,61.008358,287100
74,2016-04-20,63.700001,65.32,63.540001,63.759998,60.836605,217600
75,2016-04-21,63.580002,64.019997,63.009998,63.41,60.502659,240200
76,2016-04-22,63.169998,64.730003,63.169998,64.190002,61.246891,247100
77,2016-04-25,63.529999,64.550003,63.349998,63.700001,60.779358,203500
78,2016-04-26,64.019997,65.540001,63.810001,64.940002,61.962513,212800
79,2016-04-27,64.68,66.239998,63.68,65.360001,62.363251,204600
80,2016-04-28,65.029999,65.459999,63.950001,64.190002,61.246891,204700
81,2016-04-29,64.279999,64.349998,61.919998,62.419998,59.558048,310300
82,2016-05-02,61.09,63.720001,61.09,63.509998,60.598068,412700
83,2016-05-03,65.5,65.5,62.41,64.449997,61.494972,582600
84,2016-05-04,63.630001,63.799999,62.169998,62.259998,59.405376,404700
85,2016-05-05,62.27,62.650002,61.470001,61.68,58.851982,325400
86,2016-05-06,61.049999,62.509998,61.0,62.509998,59.643913,254400
87,2016-05-09,62.509998,63.869999,61.779999,61.849998,59.014175,256200
88,2016-05-10,61.939999,62.52,61.09,62.400002,59.538963,177900
89,2016-05-11,62.25,63.200001,61.75,62.330002,59.472179,213200
90,2016-05-12,62.5,62.5,60.060001,60.93,58.13636,234100
91,2016-05-13,60.560001,61.84,60.560001,61.450001,58.632523,222500
92,2016-05-16,61.669998,63.59,61.669998,62.860001,59.977879,297700
93,2016-05-17,62.970001,63.41,61.919998,62.09,59.243168,367800
94,2016-05-18,61.700001,63.880001,60.02,63.009998,60.120995,187700
95,2016-05-19,62.75,63.599998,61.25,62.119999,59.271797,297700
96,2016-05-20,62.650002,64.160004,62.650002,64.120003,61.180099,309600
97,2016-05-23,64.18,66.480003,64.18,65.370003,62.372791,557100
98,2016-05-24,65.870003,67.540001,65.709999,66.889999,63.823093,676300
99,2016-05-25,67.519997,67.849998,66.540001,66.889999,63.823093,253000
100,2016-05-26,66.910004,67.980003,66.910004,67.860001,64.748627,299500
101,2016-05-27,67.660004,68.660004,67.459999,68.519997,65.378365,406900
102,2016-05-31,68.599998,68.980003,67.949997,68.330002,65.197067,294600
103,2016-06-01,67.559998,68.93,67.559998,68.720001,65.569183,198800
104,2016-06-02,68.580002,68.769997,68.040001,68.690002,65.540573,251000
105,2016-06-03,68.849998,68.860001,68.010002,68.699997,65.550125,165900
106,2016-06-06,68.800003,69.199997,68.419998,68.769997,65.616898,141600
107,2016-06-07,69.190002,70.330002,68.889999,70.220001,67.000412,299500
108,2016-06-08,70.400002,71.050003,69.599998,70.629997,67.391617,218900
109,2016-06-09,70.029999,70.82,69.5,70.75,67.506104,217500
110,2016-06-10,69.779999,70.099998,68.82,69.07,65.903152,210300
111,2016-06-13,68.330002,69.529999,67.879997,68.599998,65.454689,212400
112,2016-06-14,68.599998,69.059998,68.110001,68.75,65.597816,245700
113,2016-06-15,69.150002,69.760002,68.669998,68.959999,65.798187,208600
