,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-04,31.4,31.43,30.77,31.120001,25.630411,3266700
1,2016-01-05,31.120001,31.58,31.0,31.41,25.869251,6043500
2,2016-01-06,31.030001,31.25,30.860001,31.059999,25.580992,4206300
3,2016-01-07,30.610001,30.940001,30.370001,30.530001,25.144484,4892900
4,2016-01-08,30.67,30.709999,30.040001,30.08,24.773865,4178000
5,2016-01-11,30.290001,30.74,30.25,30.639999,25.235079,3519600
6,2016-01-12,30.85,30.92,30.139999,30.73,25.309202,3083700
7,2016-01-13,30.879999,30.92,30.049999,30.110001,24.798574,2794900
8,2016-01-14,30.209999,30.6,30.1,30.219999,24.889168,4102800
9,2016-01-15,29.48,30.08,29.48,29.91,24.633854,4173800
10,2016-01-19,29.83,29.969999,29.469999,29.799999,24.543257,4456500
11,2016-01-20,29.469999,30.01,29.32,29.68,24.444426,5852400
12,2016-01-21,29.77,30.0,29.459999,29.549999,24.337358,4218700
13,2016-01-22,29.93,30.059999,29.68,29.950001,24.666796,3037000
14,2016-01-25,29.940001,30.0,29.459999,29.5,24.296177,3749200
15,2016-01-26,29.620001,29.93,29.379999,29.49,24.287943,3800000
16,2016-01-27,30.66,30.74,29.92,30.379999,25.020945,5831800
17,2016-01-28,30.620001,30.799999,29.91,30.719999,25.30097,4399900
18,2016-01-29,30.950001,31.360001,30.82,31.25,25.737476,6877600
19,2016-02-01,29.969999,30.66,29.969999,30.48,25.837503,6982100
20,2016-02-02,30.370001,30.66,30.200001,30.49,25.84598,5102900
21,2016-02-03,30.66,30.66,29.99,30.42,25.78664,5863300
22,2016-02-04,30.389999,30.67,30.27,30.66,25.990086,4987500
23,2016-02-05,30.66,30.950001,30.49,30.700001,26.023996,3762200
24,2016-02-08,30.389999,30.870001,30.35,30.73,26.049423,5718600
25,2016-02-09,30.469999,31.309999,30.450001,30.879999,26.17658,7501200
26,2016-02-10,31.030001,31.48,30.9,30.91,26.202011,4266700
27,2016-02-11,30.41,30.68,30.190001,30.23,25.625582,5204000
28,2016-02-12,30.610001,31.450001,30.559999,31.379999,26.600422,6632000
29,2016-02-16,31.700001,31.719999,31.27,31.65,26.829296,5294100
30,2016-02-17,32.0,32.220001,31.780001,32.060001,27.176851,4908700
31,2016-02-18,32.060001,32.119999,31.780001,31.950001,27.083607,3178500
32,2016-02-19,31.76,32.080002,31.75,31.91,27.049696,3188200
33,2016-02-22,32.16,32.279999,31.84,32.029999,27.151419,2926700
