,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,35.805,36.5,35.084999,35.18,33.612354,10372000.0
1,2016-01-08,35.455002,35.514999,33.654999,34.41,32.876663,19171200.0
2,2016-01-15,33.43,35.174999,33.25,33.529999,32.035873,15959200.0
3,2016-01-22,33.900002,34.43,31.495001,33.450001,31.959435,19218400.0
4,2016-01-29,33.334999,34.07,32.415001,33.919998,32.408497,16678600.0
5,2016-02-05,33.674999,33.875,31.15,32.040001,30.612276,17335800.0
6,2016-02-12,32.285,33.68,32.150002,33.264999,31.782682,10462400.0
7,2016-02-19,33.119999,33.740002,32.580002,33.415001,31.925995,11361800.0
8,2016-02-26,33.595001,34.400002,33.115002,34.345001,32.81456,12002200.0
9,2016-03-04,34.244999,34.325001,33.205002,33.59,32.155754,11516000.0
10,2016-03-11,33.945,35.990002,33.685001,35.794998,34.266598,14510200.0
11,2016-03-18,35.924999,35.955002,34.75,35.119999,33.620438,16745600.0
12,2016-03-25,35.255001,35.965,34.919998,35.645,34.123013,5937000.0
13,2016-04-01,35.540001,35.959999,34.619999,35.32,33.811886,13662800.0
14,2016-04-08,35.555,35.970001,35.0,35.924999,34.391056,11530000.0
15,2016-04-15,35.915001,37.84,35.785,37.580002,35.975384,14719800.0
16,2016-04-22,37.57,38.345001,35.93,36.465,34.907997,19786000.0
17,2016-04-29,36.23,36.384998,35.299999,35.915001,34.381477,18428000.0
18,2016-05-06,35.884998,36.68,35.435001,36.419998,34.864914,12317800.0
19,2016-05-13,36.259998,36.66,35.224998,35.709999,34.185242,10485000.0
20,2016-05-20,35.884998,36.314999,35.459999,35.91,34.376694,8660800.0
21,2016-05-27,35.744999,36.855,35.599998,36.84,35.266998,9842200.0
22,2016-06-03,36.700001,37.5,36.605,37.439999,35.906353,10039600.0
23,2016-06-10,37.189999,37.195,35.305,35.93,34.45821,17082200.0
24,2016-06-17,35.939999,36.965,35.474998,36.764999,35.259007,17486200.0
25,2016-06-24,35.259998,36.189999,33.755001,36.145,34.66441,51415000.0
26,2016-07-01,36.314999,36.625,34.625,35.41,33.959515,36039800.0
27,2016-07-08,35.84,36.200001,35.195,35.650002,34.189682,29323000.0
28,2016-07-15,35.75,35.93,34.34,35.465,34.01226,22859800.0
29,2016-07-22,35.424999,35.865002,35.150002,35.459999,34.007458,11467800.0
30,2016-07-29,35.285,39.375,34.884998,39.255001,37.647015,25631800.0
31,2016-08-05,39.255001,40.625,38.959999,40.279999,38.630024,22433200.0
32,2016-08-12,40.325001,40.5,39.895,40.134998,38.490955,12336800.0
33,2016-08-19,39.91,40.389999,39.615002,39.91,38.275181,9846200.0
34,2016-08-26,40.07,40.07,39.09,39.924999,38.289574,14862400.0
35,2016-09-02,40.130001,40.595001,40.009998,40.049999,38.472797,7896400.0
36,2016-09-09,39.814999,39.82,38.330002,39.150002,37.608246,18052000.0
37,2016-09-16,39.060001,39.970001,38.794998,39.845001,38.275875,15443000.0
38,2016-09-23,39.650002,40.599998,39.165001,40.450001,38.857052,10079200.0
39,2016-09-30,40.634998,41.119999,39.494999,39.775002,38.208633,11680600.0
40,2016-10-07,39.915001,39.915001,38.685001,39.299999,37.752335,6297600.0
41,2016-10-14,39.57,41.064999,39.549999,40.055,38.4776,11922400.0
42,2016-10-21,39.720001,40.384998,39.169998,39.18,37.637066,9272600.0
43,2016-10-28,39.240002,39.360001,38.0,39.119999,37.579426,18685400.0
44,2016-11-04,39.009998,39.830002,37.575001,37.945,36.450691,18132200.0
45,2016-11-11,37.755001,38.52,37.299999,38.244999,36.738888,12575400.0
46,2016-11-18,38.205002,39.035,37.724998,38.830002,37.300854,10915200.0
47,2016-11-25,38.919998,39.025002,36.215,36.555,35.11544,13478600.0
48,2016-12-02,36.57,38.185001,36.544998,38.035,36.598667,12685400.0
49,2016-12-09,38.07,39.105,37.419998,38.150002,36.709332,15071400.0
50,2016-12-16,38.355,38.509998,37.834999,38.224998,36.781498,14247000.0
51,2016-12-23,38.224998,38.5,37.685001,37.845001,36.415848,4095800.0
52,2016-12-30,38.044998,38.555,37.404999,38.43,36.978756,7654600.0
53,2017-01-06,38.465,38.674999,37.630001,38.525002,37.070168,8156600.0
54,2017-01-13,38.595001,38.66,37.759998,37.805,36.377365,6530800.0
55,2017-01-20,37.955002,38.494999,37.215,38.18,36.738205,11222200.0
56,2017-01-27,38.285,38.549999,36.459999,36.66,35.2756,16381800.0
57,2017-02-03,37.369999,37.404999,36.064999,37.040001,35.641243,17878400.0
58,2017-02-10,37.150002,37.424999,36.445,36.490002,35.112011,11456800.0
59,2017-02-17,36.474998,37.174999,36.314999,37.014999,35.617191,15229400.0
60,2017-02-24,36.869999,37.549999,36.32,36.634998,35.251534,13597400.0
61,2017-03-03,36.674999,36.985001,36.0,36.674999,35.352928,10927400.0
62,2017-03-10,36.785,37.57,36.639999,37.375,36.027695,12319000.0
63,2017-03-17,37.490002,37.799999,36.799999,37.154999,35.81562,11542400.0
64,2017-03-24,37.134998,37.195,36.330002,36.810001,35.483063,12418200.0
65,2017-03-31,36.695,37.209999,36.165001,36.200001,34.895058,15629400.0
66,2017-04-07,36.099998,36.32,35.645,35.764999,34.475739,10694600.0
67,2017-04-14,35.93,36.799999,35.860001,36.634998,35.314362,9255400.0
68,2017-04-21,36.580002,38.68,36.575001,38.674999,37.28083,16371200.0
69,2017-04-28,38.645,40.625,38.049999,40.244999,38.794235,19600800.0
70,2017-05-05,40.0,40.305,39.544998,40.0,38.558067,15159400.0
71,2017-05-12,39.875,40.52,39.34,39.75,38.317085,9925200.0
72,2017-05-19,40.119999,40.790001,39.759998,40.720001,39.252113,8778500.0
73,2017-05-26,40.639999,41.529999,40.220001,41.419998,39.926888,8053000.0
74,2017-06-02,41.419998,41.82,40.150002,40.509998,39.145885,11524300.0
75,2017-06-09,40.509998,41.540001,40.060001,41.150002,39.764339,10790000.0
76,2017-06-16,41.34,42.220001,40.880001,41.669998,40.26683,11062300.0
77,2017-06-23,41.740002,42.73,41.52,42.029999,40.614704,13497100.0
78,2017-06-30,42.099998,42.869999,41.98,42.02,40.605053,7232900.0
79,2017-07-07,42.130001,42.380001,41.580002,41.720001,40.315155,10470100.0
80,2017-07-14,41.869999,42.650002,41.869999,42.419998,40.991573,7917500.0
81,2017-07-21,42.330002,43.060001,42.02,42.290001,40.865952,7568500.0
82,2017-07-28,42.299999,42.369999,40.16,40.610001,39.242531,13556500.0
83,2017-08-04,40.57,41.43,39.990002,40.049999,38.701385,15654800.0
84,2017-08-11,39.900002,40.880001,39.900002,40.27,38.913971,10164600.0
85,2017-08-18,40.189999,40.32,38.939999,39.209999,37.889664,9406800.0
86,2017-08-25,39.389999,40.439999,38.790001,39.990002,38.643406,8847000.0
87,2017-09-01,40.209999,40.34,39.540001,40.259998,39.004169,9363700.0
88,2017-09-08,40.25,41.16,40.080002,40.41,39.149479,9710200.0
89,2017-09-15,40.330002,41.07,40.27,40.799999,39.527328,8013400.0
90,2017-09-22,40.790001,41.490002,40.59,41.419998,40.127983,11049000.0
91,2017-09-29,41.369999,42.09,40.990002,42.029999,40.718952,11323000.0
92,2017-10-06,41.860001,42.630001,41.759998,42.25,40.932091,8432000.0
93,2017-10-13,42.34,42.619999,41.68,41.939999,40.63176,8919700.0
94,2017-10-20,42.189999,43.119999,41.919998,42.73,41.397121,10039400.0
95,2017-10-27,42.77,43.240002,40.27,41.799999,40.49612,12917900.0
96,2017-11-03,41.82,42.09,40.139999,40.32,39.06229,14044300.0
97,2017-11-10,40.23,40.689999,39.360001,40.52,39.256058,17041800.0
98,2017-11-17,40.220001,40.5,39.419998,39.52,38.287251,9143500.0
99,2017-11-24,39.709999,40.32,39.400002,39.91,38.665081,9790700.0
100,2017-12-01,39.98,41.169998,38.98,40.810001,39.637207,11054600.0
101,2017-12-08,40.259998,40.299999,38.259998,38.290001,37.189629,19582400.0
102,2017-12-15,38.810001,39.82,37.580002,37.630001,36.548595,23720400.0
103,2017-12-22,37.57,38.0,37.360001,37.919998,36.830254,9281300.0
104,2017-12-29,37.919998,38.84,37.709999,38.349998,37.247894,9158100.0
105,2018-01-05,38.459999,38.830002,37.689999,38.380001,37.277039,13657600.0
106,2018-01-12,38.470001,39.939999,37.689999,38.790001,37.675266,16070500.0
107,2018-01-19,38.790001,39.299999,37.560001,39.209999,38.083191,16455200.0
108,2018-01-26,39.259998,39.279999,37.400002,38.349998,37.247894,19376100.0
109,2018-02-02,38.099998,40.5,35.599998,38.439999,37.335316,26342200.0
110,2018-02-09,38.68,39.209999,36.75,39.119999,37.99577,23685500.0
111,2018-02-16,39.009998,39.869999,38.689999,39.549999,38.413422,12860500.0
112,2018-02-23,39.560001,40.490002,39.080002,39.5,38.364845,12904400.0
113,2018-03-02,39.290001,41.16,38.57,41.02,39.941002,13910700.0
114,2018-03-09,41.169998,41.990002,40.84,40.970001,39.892319,12322000.0
115,2018-03-16,41.0,41.18,39.130001,39.139999,38.110447,13642400.0
116,2018-03-23,39.09,39.919998,38.689999,39.709999,38.665455,12045500.0
117,2018-03-30,39.560001,40.41,38.540001,40.279999,39.220463,10676500.0
118,2018-04-06,39.970001,40.669998,38.98,40.509998,39.444412,9880400.0
119,2018-04-13,40.66,41.610001,40.48,40.919998,39.843624,9400700.0
120,2018-04-20,41.040001,41.240002,39.669998,40.43,39.366524,10708600.0
121,2018-04-27,40.389999,40.860001,36.740002,37.919998,36.922543,22794100.0
122,2018-05-04,37.610001,38.93,37.599998,38.810001,37.789139,15461800.0
123,2018-05-11,38.82,38.919998,37.619999,37.990002,36.990696,10301500.0
124,2018-05-18,37.509998,38.639999,37.360001,38.349998,37.341225,8940100.0
125,2018-05-25,38.32,38.439999,36.849998,36.950001,35.978058,10043300.0
126,2018-06-01,37.16,37.369999,36.169998,37.330002,36.444817,12977100.0
127,2018-06-08,37.23,37.98,36.790001,36.880001,36.005482,12402900.0
128,2018-06-15,36.77,36.91,35.119999,35.279999,34.44342,21702300.0
129,2018-06-22,36.16,36.32,34.709999,35.25,34.414124,18256800.0
130,2018-06-29,35.349998,36.470001,35.080002,36.450001,35.585674,8392400.0
131,2018-07-06,36.41,38.169998,36.299999,37.869999,36.972,13726800.0
132,2018-07-13,37.689999,38.560001,37.240002,38.27,37.362522,11481000.0
133,2018-07-20,38.240002,38.650002,37.419998,38.549999,37.635876,9644900.0
134,2018-07-27,38.73,40.82,38.0,40.529999,39.568928,15793200.0
135,2018-08-03,40.41,41.93,40.41,41.25,40.271851,14251300.0
136,2018-08-10,41.009998,41.049999,39.41,40.299999,39.344376,16009100.0
137,2018-08-17,40.23,41.299999,39.990002,40.68,39.715374,13181700.0
138,2018-08-24,40.869999,42.169998,40.720001,41.84,40.847862,9494100.0
139,2018-08-31,41.700001,42.369999,41.34,42.139999,41.140755,10202400.0
140,2018-09-07,42.009998,43.959999,41.990002,43.810001,42.873619,11483800.0
141,2018-09-14,43.880001,45.209999,43.689999,44.389999,43.441223,17084800.0
142,2018-09-21,44.389999,44.959999,44.02,44.139999,43.196568,13721500.0
143,2018-09-28,44.080002,45.82,43.759998,45.810001,44.830872,13994300.0
144,2018-10-05,45.75,46.689999,43.43,43.509998,42.580029,23418800.0
145,2018-10-12,43.91,46.889999,43.639999,46.200001,45.212536,17070500.0
146,2018-10-19,46.419998,46.419998,43.240002,43.32,42.394096,16483600.0
147,2018-10-26,42.970001,48.0,42.52,47.619999,46.602188,19331000.0
148,2018-11-02,47.619999,49.18,46.630001,48.720001,47.678673,15335700.0
149,2018-11-09,48.599998,50.439999,48.189999,50.380001,49.3032,18316200.0
150,2018-11-16,50.130001,50.98,48.599998,49.310001,48.256073,17390500.0
151,2018-11-23,49.060001,49.84,48.150002,49.57,48.510506,13576400.0
152,2018-11-30,49.509998,50.189999,47.939999,48.720001,47.678673,16663600.0
153,2018-12-07,48.799999,49.400002,47.77,48.529999,47.588741,20498100.0
154,2018-12-14,48.349998,48.630001,43.93,44.139999,43.283886,20918800.0
155,2018-12-21,43.860001,44.939999,42.240002,44.450001,43.587875,13761400.0
156,2018-12-28,44.740002,46.040001,43.869999,44.259998,43.401558,13669900.0
157,2019-01-04,44.869999,47.810001,44.689999,47.650002,46.725815,13309300.0
158,2019-01-11,47.52,49.599998,47.52,49.5,48.539928,12748800.0
159,2019-01-18,49.700001,51.759998,49.48,50.860001,49.873554,11022000.0
160,2019-01-25,51.259998,52.68,48.810001,52.279999,51.266006,18742800.0
161,2019-02-01,52.369999,53.470001,51.48,53.259998,52.227005,14957100.0
162,2019-02-08,53.080002,55.48,52.84,54.950001,53.88422,13042200.0
163,2019-02-15,55.07,55.119999,53.970001,54.48,53.42334,10992900.0
164,2019-02-22,54.75,55.639999,54.560001,54.779999,53.717525,10746900.0
165,2019-03-01,55.060001,56.099998,54.380001,54.68,53.716248,9108800.0
166,2019-03-08,53.970001,57.389999,53.720001,57.27,56.260601,15041300.0
167,2019-03-15,57.209999,58.950001,56.869999,58.84,57.802925,11128100.0
168,2019-03-22,58.68,58.799999,57.610001,57.939999,56.918789,9880600.0
169,2019-03-29,58.209999,58.630001,57.619999,58.0,56.977734,10311700.0
170,2019-04-05,57.91,58.700001,57.389999,58.619999,57.586803,9723000.0
171,2019-04-12,58.73,58.860001,57.0,58.509998,57.478745,9033000.0
172,2019-04-19,58.43,59.630001,58.43,58.959999,57.920811,4795000.0
173,2019-04-26,59.029999,60.32,56.389999,60.0,58.942478,9868600.0
174,2019-05-03,60.099998,62.439999,60.09,62.369999,61.27071,11417300.0
175,2019-05-10,62.389999,65.309998,62.360001,62.57,61.467182,14054200.0
176,2019-05-17,62.0,63.209999,60.560001,61.049999,59.973969,12192300.0
177,2019-05-24,61.400002,61.52,60.200001,61.040001,59.964153,8752500.0
178,2019-05-31,60.060001,65.730003,60.060001,65.660004,64.502724,13487200.0
179,2019-06-07,65.940002,66.830002,64.519997,64.919998,63.932861,9336700.0
180,2019-06-14,65.089996,67.349998,64.709999,67.25,66.227448,8689700.0
181,2019-06-21,67.290001,68.370003,66.459999,68.099998,67.064522,12284200.0
182,2019-06-28,68.120003,72.339996,68.059998,72.25,71.151421,17042100.0
183,2019-07-05,71.739998,72.0,70.040001,71.150002,70.068138,9211200.0
184,2019-07-12,71.150002,71.300003,67.589996,70.900002,69.821953,10855500.0
185,2019-07-19,71.150002,72.419998,70.480003,71.290001,70.206024,6956000.0
186,2019-07-26,71.5,76.279999,71.0,74.739998,73.603546,11716300.0
187,2019-08-02,74.239998,76.639999,72.93,76.080002,74.92318,11611000.0
188,2019-08-09,76.120003,79.459999,76.080002,78.0,76.813995,9941500.0
189,2019-08-16,78.419998,80.660004,78.239998,79.760002,78.547226,8390900.0
190,2019-08-23,79.620003,80.68,77.800003,80.43,79.207039,8379400.0
191,2019-08-30,80.75,81.879997,78.68,78.709999,77.513184,6577500.0
192,2019-09-06,78.709999,79.220001,70.760002,73.360001,72.379524,20452500.0
193,2019-09-13,73.110001,75.230003,71.93,74.279999,73.287231,11017700.0
194,2019-09-20,74.510002,75.82,72.830002,74.470001,73.474693,12639400.0
195,2019-09-27,74.440002,74.879997,69.620003,71.639999,70.68251,12338400.0
196,2019-10-04,71.919998,73.379997,70.730003,72.839996,71.866463,8669500.0
197,2019-10-11,73.309998,74.910004,71.160004,73.870003,72.882713,9058000.0
198,2019-10-18,74.040001,74.830002,70.68,71.800003,70.840378,8566300.0
199,2019-10-25,71.730003,74.75,68.839996,69.970001,69.034828,12729000.0
200,2019-11-01,69.830002,70.370003,64.459999,65.07,64.200325,17130900.0
201,2019-11-08,65.290001,66.160004,63.529999,65.739998,64.861374,8271100.0
202,2019-11-15,65.879997,68.019997,65.389999,66.160004,65.275749,10562500.0
203,2019-11-22,66.470001,67.209999,64.650002,66.550003,65.660545,6721200.0
204,2019-11-29,66.279999,66.849998,65.349998,66.139999,65.256027,6945400.0
205,2019-12-06,66.800003,66.800003,62.439999,63.41,62.703838,12516500.0
206,2019-12-13,63.369999,64.989998,63.150002,63.720001,63.010391,10324100.0
207,2019-12-20,64.099998,65.610001,63.82,64.910004,64.187134,8338800.0
208,2019-12-27,65.0,65.260002,63.400002,63.880001,63.168613,6678000.0
209,2020-01-03,63.349998,66.82,63.349998,66.720001,65.976982,12005900.0
210,2020-01-10,66.760002,69.190002,65.919998,69.18,68.409584,10303000.0
211,2020-01-17,69.269997,72.449997,68.550003,71.870003,71.069633,8845600.0
212,2020-01-24,72.080002,74.660004,70.889999,73.099998,72.285927,13539600.0
213,2020-01-31,72.720001,82.82,71.860001,78.0,77.131363,15199200.0
214,2020-02-07,77.800003,78.059998,75.510002,77.169998,76.3106,9756100.0
215,2020-02-14,77.18,79.0,76.040001,76.599998,75.746948,6290100.0
216,2020-02-21,76.699997,77.559998,71.980003,72.010002,71.208061,15085500.0
217,2020-02-28,70.129997,78.730003,68.169998,77.029999,76.172157,14103100.0
218,2020-03-06,75.220001,76.459999,61.669998,63.18,62.606815,14451400.0
219,2020-03-13,65.239998,67.629997,53.91,60.110001,59.564671,21173400.0
220,2020-03-20,59.77,63.369999,51.259998,62.560001,61.992443,18169100.0
221,2020-03-27,61.080002,66.900002,60.689999,64.559998,63.974293,19150300.0
222,2020-04-03,63.830002,70.470001,61.810001,69.940002,69.305489,14430000.0
223,2020-04-10,69.269997,69.75,66.260002,67.800003,67.184906,8407300.0
224,2020-04-17,69.040001,70.339996,64.5,64.900002,64.311218,7829300.0
225,2020-04-24,65.669998,68.900002,63.73,65.589996,64.994934,7279200.0
226,2020-05-01,64.800003,67.559998,62.32,65.889999,65.292229,9504100.0
227,2020-05-08,66.07,66.660004,59.790001,62.040001,61.477154,12011200.0
228,2020-05-15,61.52,66.080002,60.849998,64.040001,63.459019,8900500.0
229,2020-05-22,64.169998,70.68,63.610001,70.550003,69.90995,7067200.0
230,2020-05-29,70.480003,75.910004,69.959999,75.400002,74.715965,11902200.0
231,2020-06-05,75.860001,76.440002,67.110001,67.160004,66.692513,10347400.0
232,2020-06-12,69.059998,71.860001,66.25,70.470001,69.979462,10579300.0
233,2020-06-19,71.660004,71.82,67.099998,69.199997,68.718307,7978900.0
234,2020-06-26,69.290001,72.019997,67.230003,71.809998,71.310143,9780900.0
235,2020-07-03,72.669998,73.190002,70.779999,71.75,71.250549,8332400.0
236,2020-07-10,71.580002,74.769997,68.389999,69.470001,68.986427,11803300.0
