,Date,Open,High,Low,Close,Adj Close,Volume
0,2016-01-01,44.349998,44.66,40.5,42.66,39.639908,10439500.0
1,2016-01-08,42.66,43.709999,42.299999,43.200001,40.141682,10445500.0
2,2016-01-15,40.950001,43.779999,40.41,43.400002,40.327534,11844900.0
3,2016-01-22,43.889999,44.59,42.990002,44.48,41.331066,7793100.0
4,2016-01-29,44.790001,45.84,44.099998,45.790001,42.548325,9082800.0
5,2016-02-05,45.790001,46.240002,44.130001,44.689999,41.526196,8982500.0
6,2016-02-12,45.23,47.209999,45.049999,46.73,43.421776,5125500.0
7,2016-02-19,46.66,47.459999,43.610001,45.91,42.659828,9535100.0
8,2016-02-26,46.0,46.810001,45.639999,46.639999,43.33815,6978600.0
9,2016-03-04,46.77,47.959999,46.060001,47.790001,44.406734,8094800.0
10,2016-03-11,48.0,49.360001,47.27,48.75,45.298782,8103900.0
11,2016-03-18,48.77,48.990002,46.419998,48.66,45.215145,8002900.0
12,2016-03-25,49.549999,49.560001,48.330002,48.810001,45.354527,3275900.0
13,2016-04-01,48.48,48.860001,46.82,47.349998,43.997887,5705900.0
14,2016-04-08,47.610001,48.91,47.330002,48.700001,45.252308,5317800.0
15,2016-04-15,49.200001,49.98,48.0,48.709999,45.2616,5365100.0
16,2016-04-22,48.77,50.490002,48.52,49.849998,46.3209,6773600.0
17,2016-04-29,49.419998,50.630001,46.740002,47.470001,44.109398,12993700.0
18,2016-05-06,47.43,48.990002,47.23,48.049999,44.648331,6193500.0
19,2016-05-13,47.810001,48.349998,47.029999,47.759998,44.378864,6542000.0
20,2016-05-20,47.849998,49.48,47.759998,48.91,45.447445,12109900.0
21,2016-05-27,48.720001,49.189999,48.240002,48.459999,45.029301,9058700.0
22,2016-06-03,48.18,50.189999,48.040001,49.98,46.824638,7561500.0
23,2016-06-10,49.849998,49.849998,47.73,48.32,45.269444,4647700.0
24,2016-06-17,48.34,49.400002,47.970001,49.009998,45.915878,6140200.0
25,2016-06-24,47.310001,49.049999,46.48,49.040001,45.943989,8429000.0
26,2016-07-01,49.049999,49.73,48.41,49.259998,46.150089,4146400.0
27,2016-07-08,49.68,50.580002,49.290001,50.169998,47.002644,4527900.0
28,2016-07-15,50.209999,50.259998,49.439999,49.529999,46.403053,4609300.0
29,2016-07-22,49.720001,50.540001,49.419998,50.150002,46.98391,4160800.0
30,2016-07-29,49.720001,52.580002,48.889999,50.43,47.246231,11238100.0
31,2016-08-05,50.799999,51.439999,49.700001,51.299999,48.06131,4627700.0
32,2016-08-12,51.299999,51.5,50.560001,50.77,47.564762,3702300.0
33,2016-08-19,50.73,51.5,50.470001,51.220001,47.986359,3456100.0
34,2016-08-26,51.080002,51.400002,50.43,51.169998,47.939514,4719300.0
35,2016-09-02,51.299999,51.900002,50.98,51.470001,48.22057,3811900.0
36,2016-09-09,51.139999,51.779999,50.0,50.419998,47.236862,4607400.0
37,2016-09-16,49.900002,51.169998,49.869999,50.900002,47.686554,5124300.0
38,2016-09-23,50.869999,51.73,50.48,51.34,48.098782,4218400.0
39,2016-09-30,51.650002,52.34,50.549999,51.740002,48.473534,5098400.0
40,2016-10-07,51.860001,51.889999,50.84,50.98,47.761513,3854000.0
41,2016-10-14,51.23,51.41,49.259998,49.610001,46.477997,6654900.0
42,2016-10-21,49.330002,50.919998,48.52,50.790001,47.583508,6354300.0
43,2016-10-28,50.889999,51.700001,50.740002,50.860001,47.649086,8918500.0
44,2016-11-04,50.990002,52.029999,47.23,50.57,47.377392,15310500.0
45,2016-11-11,50.27,51.849998,50.200001,51.139999,47.911404,8436300.0
46,2016-11-18,51.119999,52.849998,50.48,52.790001,49.457237,4911000.0
47,2016-11-25,52.720001,53.580002,52.34,53.389999,50.019356,7641600.0
48,2016-12-02,53.369999,56.369999,52.48,56.349998,53.195404,9860900.0
49,2016-12-09,56.09,56.240002,54.419998,54.509998,51.458412,8819100.0
50,2016-12-16,54.669998,54.880001,53.310001,53.779999,50.769283,5820400.0
51,2016-12-23,53.900002,54.16,52.84,53.080002,50.108475,2213000.0
52,2016-12-30,53.25,53.740002,52.540001,53.029999,50.061268,4838700.0
53,2017-01-06,53.0,53.700001,52.650002,53.529999,50.533276,5158000.0
54,2017-01-13,53.689999,54.040001,53.279999,53.32,50.33503,4592900.0
55,2017-01-20,53.27,53.5,51.889999,52.93,49.966869,8460800.0
56,2017-01-27,52.919998,53.450001,51.57,52.439999,49.504295,6049400.0
57,2017-02-03,52.700001,54.32,52.43,54.09,51.061932,4573600.0
58,2017-02-10,54.310001,56.259998,53.970001,56.169998,53.025478,5959700.0
59,2017-02-17,56.119999,56.799999,55.330002,56.009998,52.874447,6132000.0
60,2017-02-24,55.869999,57.349998,55.790001,56.779999,53.601334,6173900.0
61,2017-03-03,56.830002,57.0,55.610001,55.84,52.713963,4165700.0
62,2017-03-10,55.959999,56.919998,55.950001,56.099998,52.9594,5045400.0
63,2017-03-17,56.060001,56.52,55.419998,55.869999,52.742283,4694400.0
